"pitch_type","game_date","release_speed","release_pos_x","release_pos_z","player_name","batter","pitcher","events","description","spin_dir","spin_rate_deprecated","break_angle_deprecated","break_length_deprecated","zone","des","game_type","stand","p_throws","home_team","away_team","type","hit_location","bb_type","balls","strikes","game_year","pfx_x","pfx_z","plate_x","plate_z","on_3b","on_2b","on_1b","outs_when_up","inning","inning_topbot","hc_x","hc_y","tfs_deprecated","tfs_zulu_deprecated","fielder_2","umpire","sv_id","vx0","vy0","vz0","ax","ay","az","sz_top","sz_bot","hit_distance_sc","launch_speed","launch_angle","effective_speed","release_spin_rate","release_extension","game_pk","pitcher","fielder_2","fielder_3","fielder_4","fielder_5","fielder_6","fielder_7","fielder_8","fielder_9","release_pos_y","estimated_ba_using_speedangle","estimated_woba_using_speedangle","woba_value","woba_denom","babip_value","iso_value","launch_speed_angle","at_bat_number","pitch_number","pitch_name","home_score","away_score","bat_score","fld_score","post_away_score","post_home_score","post_bat_score","post_fld_score","if_fielding_alignment","of_fielding_alignment"
"FF","2020-09-24","90.4","2.39","5.77","Hyun Jin Ryu",458731,547943,"field_out","hit_into_play",,,,,"3","Brett Gardner pops out to shortstop Bo Bichette in foul territory.  ","R","L","L","TOR","NYY","X",6,"popup",3,1,2020,"0.7","0.8","0.37","2.83","null","null","null",1,3,"Top","106.90","205.57",,,"643376",,"null",-6.645832024687271,-131.6910026059148,-3.2550977274484936,9.981823311790933,22.32122251623792,-22.165768177753776,"3.09","1.52","44","66.4","81","91.4","1914","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.13","0.000","0.000","0.00",1,0,0,3,16,"5","4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"FF","2020-09-24","89.6","2.40","5.82","Hyun Jin Ryu",458731,547943,"null","missed_bunt",,,,,"4","null","R","L","L","TOR","NYY","S","null","null",3,0,2020,"0.9","0.8","-0.46","2.42","null","null","null",1,3,"Top","null","null",,,"643376",,"null",-8.88779393986225,-130.3302847370199,-4.209487689715102,11.445847212305509,24.14370058056591,-22.113807037784618,"3.09","1.52","null","null","null","90.3","1922","6.5",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.04","null","null","null","null","null","null","null",16,"4","4-Seam Fastball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"CU","2020-09-24","81.2","2.45","5.84","Hyun Jin Ryu",458731,547943,"null","ball",,,,,"13","null","R","L","L","TOR","NYY","B","null","null",2,0,2020,"-0.2","0.2","-1.30","1.69","null","null","null",1,3,"Top","null","null",,,"643376",,"null",-7.950508709820677,-118.1516406325755,-3.1358467685440705,-0.9634060005951589,18.469735565527746,-30.05987685045195,"3.20","1.52","null","null","null","81.8","2043","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.21","null","null","null","null","null","null","null",16,"3","Curveball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"CU","2020-09-24","70.8","2.20","6.18","Hyun Jin Ryu",458731,547943,"null","ball",,,,,"11","null","R","L","L","TOR","NYY","B","null","null",1,0,2020,"-1.0","-0.9","-0.06","3.44","null","null","null",1,3,"Top","null","null",,,"643376",,"null",-2.7048871013158946,-103.021151152343,3.7351290537951973,-6.7801910589731715,17.978326790107808,-39.32958616104923,"3.03","1.43","null","null","null","70.3","2550","6.0",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.45","null","null","null","null","null","null","null",16,"2","Curveball",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"FC","2020-09-24","83.8","2.31","5.88","Hyun Jin Ryu",458731,547943,"null","ball",,,,,"13","null","R","L","L","TOR","NYY","B","null","null",0,0,2020,"-0.3","0.4","-1.06","1.72","null","null","null",1,3,"Top","null","null",,,"643376",,"null",-7.287682237734847,-121.98782951794838,-4.1661947862742075,-1.2853502273483868,20.890988208431004,-27.109225818727346,"2.99","1.45","null","null","null","84.3","1975","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.20","null","null","null","null","null","null","null",16,"1","Cutter",1,0,0,1,0,1,0,1,"Infield shift","Standard"
"CH","2020-09-24","77.5","2.55","5.75","Hyun Jin Ryu",543309,547943,"field_out","hit_into_play",,,,,"14","Kyle Higashioka flies out to center fielder Randal Grichuk.  ","R","R","L","TOR","NYY","X",8,"fly_ball",0,1,2020,"1.0","0.3","0.87","2.16","null","null","null",0,3,"Top","122.80","89.26",,,"643376",,"null",-5.414068444996543,-112.91332597783051,-1.373106351545041,9.515379272910968,17.92564993890227,-29.5854312141062,"3.29","1.54","264","77.3","35","78.0","1399","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.19","0.057","0.051","0.00",1,0,0,3,15,"2","Changeup",1,0,0,1,0,1,0,1,"Standard","Standard"
"CU","2020-09-24","71.1","2.22","6.18","Hyun Jin Ryu",543309,547943,"null","called_strike",,,,,"12","null","R","R","L","TOR","NYY","S","null","null",0,0,2020,"-1.0","-1.1","0.86","3.26","null","null","null",0,3,"Top","null","null",,,"643376",,"null",-1.041339818774745,-103.37063738907568,3.6714627873628256,-6.695398211074016,19.059907093304925,-40.59361025093313,"3.33","1.54","null","null","null","70.3","2414","6.0",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.53","null","null","null","null","null","null","null",15,"1","Curveball",1,0,0,1,0,1,0,1,"Standard","Standard"
"FC","2020-09-24","86.5","2.50","5.96","Hyun Jin Ryu",640449,547943,"strikeout","swinging_strike",,,,,"13","Clint Frazier strikes out swinging.  ","R","R","L","TOR","NYY","S",2,"null",3,2,2020,"0.0","0.5","-1.12","2.38","null",570482,"null",2,2,"Top","null","null",,,"643376",,"null",-8.629691130431038,-125.80021127591779,-3.447560104284082,1.4772641371254351,22.63469217481613,-26.18860665314737,"3.41","1.61","null","null","null","87.0","2138","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.08","null","null","0.00",1,0,0,"null",10,"7","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2020-09-24","79.0","2.63","5.64","Hyun Jin Ryu",640449,547943,"null","foul",,,,,"6","null","R","R","L","TOR","NYY","S","null","null",3,2,2020,"1.2","0.4","0.67","2.47","null",570482,"null",2,2,"Top","null","null",,,"643376",,"null",-6.455742429698882,-114.95176318603905,-1.0054983585370352,11.426388757800053,18.125278249589925,-28.355193595507068,"3.41","1.61","197","72.0","55","79.8","1458","6.5",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","53.99","null","null","null","null","null","null","null",10,"6","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2020-09-24","90.8","2.25","5.86","Hyun Jin Ryu",640449,547943,"null","ball",,,,,"13","null","R","R","L","TOR","NYY","B","null","null",2,2,2020,"0.9","1.2","-1.88","2.45","null",570482,"null",2,2,"Top","null","null",,,"643376",,"null",-12.338621544437022,-131.7322639306169,-5.228535702563844,13.19478762192005,24.153979219636092,-17.321316904730097,"3.44","1.72","null","null","null","91.4","2069","6.5",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","53.96","null","null","null","null","null","null","null",10,"5","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2020-09-24","77.5","2.69","5.59","Hyun Jin Ryu",640449,547943,"null","ball",,,,,"14","null","R","R","L","TOR","NYY","B","null","null",1,2,2020,"1.0","0.5","1.55","1.78","null",570482,"null",2,2,"Top","null","null",,,"643376",,"null",-4.207878670324625,-112.93990614454586,-2.187858380787646,9.00944270613225,17.652853696945666,-27.930520267936398,"3.44","1.61","null","null","null","78.2","1432","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.11","null","null","null","null","null","null","null",10,"4","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"CU","2020-09-24","73.6","2.07","6.03","Hyun Jin Ryu",640449,547943,"null","blocked_ball",,,,,"13","null","R","R","L","TOR","NYY","B","null","null",0,2,2020,"-1.0","-1.1","-0.60","0.65","null",570482,"null",2,2,"Top","null","null",,,"643376",,"null",-3.6456401466460338,-107.1805137338545,-1.7281893487899949,-7.329004025351057,18.696812447322568,-40.53986859194764,"3.44","1.61","null","null","null","73.8","2598","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.05","null","null","null","null","null","null","null",10,"3","Curveball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2020-09-24","87.1","2.18","5.88","Hyun Jin Ryu",640449,547943,"null","foul",,,,,"4","null","R","R","L","TOR","NYY","S","null","null",0,1,2020,"0.0","0.6","-0.72","2.75","null",570482,"null",2,2,"Top","null","null",,,"643376",,"null",-7.035238540861035,-126.82465066712867,-2.7621596602377148,1.477634665212511,21.57140990724832,-24.989525034716646,"3.41","1.61","101","43.8","32","88.0","1979","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.08","null","null","null","null","null","null","null",10,"2","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2020-09-24","90.0","2.28","5.85","Hyun Jin Ryu",640449,547943,"null","called_strike",,,,,"6","null","R","R","L","TOR","NYY","S","null","null",0,0,2020,"0.8","1.2","0.33","2.77","null",570482,"null",2,2,"Top","null","null",,,"643376",,"null",-6.61074480929129,-130.98635038372495,-4.201038224311078,10.84921974303777,25.21548465908926,-18.117398101576292,"3.48","1.61","null","null","null","90.7","1915","6.5",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.00","null","null","null","null","null","null","null",10,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2020-09-24","91.1","2.30","5.71","Hyun Jin Ryu",570482,547943,"double","hit_into_play_no_out",,,,,"2","Gio Urshela doubles (11) on a sharp line drive to left fielder Lourdes Gurriel Jr. ","R","R","L","TOR","NYY","X",7,"line_drive",0,0,2020,"0.9","0.9","-0.12","2.92","null","null","null",2,2,"Top","84.59","64.00",,,"643376",,"null",-7.9789994362474195,-132.59033227279326,-3.0275621103167007,11.986297092399063,25.323500181762604,-21.51266435968184,"3.37","1.59","335","104.0","16","91.7","1988","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.12","0.614","0.614","1.25",1,1,1,5,9,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2020-09-24","79.5","2.59","5.61","Hyun Jin Ryu",650402,547943,"field_out","hit_into_play",,,,,"6","Gleyber Torres flies out to right fielder Teoscar Hernandez.  ","R","R","L","TOR","NYY","X",9,"fly_ball",3,2,2020,"1.2","0.4","0.80","2.14","null","null","null",1,2,"Top","177.39","131.44",,,"643376",,"null",-6.097027552104605,-115.59491814980112,-1.5168345517689046,11.528227558714027,21.116253117802877,-28.914207693440975,"3.22","1.52","null","null","null","79.7","1508","6.5",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.04","null","null","0.00","null",0,0,"null",8,"6","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2020-09-24","78.4","2.62","5.53","Hyun Jin Ryu",650402,547943,"null","ball",,,,,"14","null","R","R","L","TOR","NYY","B","null","null",2,2,2020,"1.3","0.5","1.12","1.21","null","null","null",1,2,"Top","null","null",,,"643376",,"null",-5.570354820207521,-114.03655881085987,-3.4361796323165654,11.9755143591158,20.101164154871416,-27.358890145296375,"3.17","1.52","null","null","null","78.7","1494","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.08","null","null","null","null","null","null","null",8,"5","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2020-09-24","80.5","2.50","5.65","Hyun Jin Ryu",650402,547943,"null","foul",,,,,"5","null","R","R","L","TOR","NYY","S","null","null",2,1,2020,"1.0","0.8","0.10","2.35","null","null","null",1,2,"Top","null","null",,,"643376",,"null",-7.199778523193311,-117.1373153531923,-2.2821986070240237,10.210740063863483,21.192333077206587,-24.21729582788811,"3.22","1.52","179","73.4","60","81.0","1592","6.5",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","53.96","null","null","null","null","null","null","null",8,"4","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2020-09-24","85.3","2.31","5.79","Hyun Jin Ryu",650402,547943,"null","ball",,,,,"13","null","R","R","L","TOR","NYY","B","null","null",1,1,2020,"-0.2","0.4","-0.96","2.35","null","null","null",1,2,"Top","null","null",,,"643376",,"null",-7.226355898754722,-124.12138079256422,-2.7585212206215495,-1.1577167768262633,21.80750973946861,-27.254086406996038,"3.51","1.60","null","null","null","85.9","2123","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.10","null","null","null","null","null","null","null",8,"3","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2020-09-24","80.9","2.48","5.70","Hyun Jin Ryu",650402,547943,"null","foul",,,,,"14","null","R","R","L","TOR","NYY","S","null","null",1,0,2020,"1.0","0.8","0.88","1.74","null","null","null",1,2,"Top","null","null",,,"643376",,"null",-5.5406493056375234,-117.7154484098617,-3.7188918480769124,10.63435384779594,21.69105971118047,-24.3333864951693,"3.22","1.52","null","null","null","81.0","1674","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.22","null","null","null","null","null","null","null",8,"2","Changeup",0,0,0,0,0,0,0,0,"Standard","Standard"
"SI","2020-09-24","90.5","2.27","5.77","Hyun Jin Ryu",650402,547943,"null","ball",,,,,"14","null","R","R","L","TOR","NYY","B","null","null",0,0,2020,"1.3","0.6","1.40","1.66","null","null","null",1,2,"Top","null","null",,,"643376",,"null",-4.901598519566459,-131.7694228874735,-5.728527328759888,16.004641466222832,25.63795111698434,-23.690174236197358,"3.47","1.54","null","null","null","90.8","1971","6.2",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.27","null","null","null","null","null","null","null",8,"1","Sinker",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2020-09-24","80.1","2.44","5.67","Hyun Jin Ryu",519317,547943,"field_out","hit_into_play",,,,,"9","Giancarlo Stanton grounds out, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr. ","R","R","L","TOR","NYY","X",6,"ground_ball",2,2,2020,"1.0","0.3","0.52","1.96","null","null","null",0,2,"Top","108.98","155.81",,,"643376",,"null",-6.0910711065030565,-116.66522207221956,-2.1035181507738034,9.990056544916081,18.737474582813057,-29.575128768063557,"3.74","1.78","13","82.2","-10","80.7","1432","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.15","0.114","0.105","0.00",1,0,0,2,7,"6","Changeup",0,0,0,0,0,0,0,0,"Standard","Strategic"
"FC","2020-09-24","84.9","2.10","6.01","Hyun Jin Ryu",519317,547943,"null","foul",,,,,"5","null","R","R","L","TOR","NYY","S","null","null",2,2,2020,"-0.4","0.3","0.01","2.55","null","null","null",0,2,"Top","null","null",,,"643376",,"null",-4.1252433015684975,-123.6836650490098,-2.3537870203055786,-3.2223282907740356,22.75730480429627,-29.274508277906392,"3.74","1.78","null","null","null","85.2","2155","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.25","null","null","null","null","null","null","null",7,"5","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2020-09-24","90.9","2.31","5.84","Hyun Jin Ryu",519317,547943,"null","foul",,,,,"2","null","R","R","L","TOR","NYY","S","null","null",2,1,2020,"0.8","1.0","-0.01","3.46","null","null","null",0,2,"Top","null","null",,,"643376",,"null",-7.542511394957533,-132.387312459632,-2.3008895370193576,10.961361232586926,24.325896438360516,-19.916756210366497,"3.74","1.78","170","71.4","67","91.6","1943","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.18","null","null","null","null","null","null","null",7,"4","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2020-09-24","85.2","2.24","5.96","Hyun Jin Ryu",519317,547943,"null","called_strike",,,,,"7","null","R","R","L","TOR","NYY","S","null","null",2,0,2020,"-0.3","0.4","-0.41","1.97","null","null","null",0,2,"Top","null","null",,,"643376",,"null",-5.657570250104845,-124.11551899030972,-3.976265814732236,-2.0471180595573943,22.198781640748138,-27.314821365549225,"3.87","1.87","null","null","null","85.6","1971","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.23","null","null","null","null","null","null","null",7,"3","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"FC","2020-09-24","85.2","2.32","6.02","Hyun Jin Ryu",519317,547943,"null","ball",,,,,"12","null","R","R","L","TOR","NYY","B","null","null",1,0,2020,"0.0","0.7","0.51","4.13","null","null","null",0,2,"Top","null","null",,,"643376",,"null",-4.218255440280604,-124.20864251066466,0.31297357044534513,0.5446263998484561,22.290092795831715,-24.797728161687314,"3.88","1.77","null","null","null","85.5","1986","6.2",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.33","null","null","null","null","null","null","null",7,"2","Cutter",0,0,0,0,0,0,0,0,"Standard","Standard"
"FF","2020-09-24","89.1","2.24","6.01","Hyun Jin Ryu",519317,547943,"null","ball",,,,,"12","null","R","R","L","TOR","NYY","B","null","null",0,0,2020,"0.6","1.0","0.16","4.56","null","null","null",0,2,"Top","null","null",,,"643376",,"null",-6.345478978193602,-129.85999853846616,0.29706129341688114,7.839998163761197,21.621563834852296,-21.211252858266572,"3.92","1.81","null","null","null","90.0","1836","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.21","null","null","null","null","null","null","null",7,"1","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Standard"
"CH","2020-09-24","81.2","2.54","5.75","Hyun Jin Ryu",543305,547943,"strikeout","swinging_strike",,,,,"6","Aaron Hicks strikes out swinging.  ","R","R","L","TOR","NYY","S",2,"null",3,2,2020,"1.1","0.5","0.31","2.33","null","null","null",2,1,"Top","null","null",,,"643376",,"null",-7.101711015688964,-118.0783003128568,-2.129626519720139,11.535519833785543,21.016580647789233,-26.883740886584782,"3.51","1.66","null","null","null","81.6","1584","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.06","null","null","0.00",1,0,0,"null",3,"7","Changeup",0,0,0,0,0,0,0,0,"Standard","Strategic"
"FC","2020-09-24","86.0","2.34","5.83","Hyun Jin Ryu",543305,547943,"null","foul",,,,,"8","null","R","R","L","TOR","NYY","S","null","null",3,2,2020,"-0.4","0.4","-0.25","1.73","null","null","null",2,1,"Top","null","null",,,"643376",,"null",-5.417786797196569,-125.21228691682379,-4.420735606113223,-2.9721580281634288,21.661178384443613,-27.242422085896237,"3.51","1.66","4","75.8","-18","86.7","2173","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.14","null","null","null","null","null","null","null",3,"6","Cutter",0,0,0,0,0,0,0,0,"Standard","Strategic"
"CU","2020-09-24","75.7","2.02","6.12","Hyun Jin Ryu",543305,547943,"null","ball",,,,,"13","null","R","R","L","TOR","NYY","B","null","null",2,2,2020,"-0.9","-0.9","-2.13","0.39","null","null","null",2,1,"Top","null","null",,,"643376",,"null",-6.956798199940518,-110.0446477663611,-3.1051010649291118,-6.2755967185997585,21.15750582806656,-39.410255490452755,"3.59","1.68","null","null","null","75.4","2684","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.19","null","null","null","null","null","null","null",3,"5","Curveball",0,0,0,0,0,0,0,0,"Standard","Strategic"
"SI","2020-09-24","90.8","2.32","5.84","Hyun Jin Ryu",543305,547943,"null","foul",,,,,"9","null","R","R","L","TOR","NYY","S","null","null",2,1,2020,"1.2","0.8","0.53","2.22","null","null","null",2,1,"Top","null","null",,,"643376",,"null",-7.1038556521418785,-132.03850801860887,-4.8968739107791475,15.880898006990893,24.970362025251422,-21.974683774200003,"3.51","1.66","173","71.7","65","91.3","2058","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.14","null","null","null","null","null","null","null",3,"4","Sinker",0,0,0,0,0,0,0,0,"Standard","Strategic"
"CH","2020-09-24","82.6","2.49","5.78","Hyun Jin Ryu",543305,547943,"null","ball",,,,,"14","null","R","R","L","TOR","NYY","B","null","null",1,1,2020,"1.2","0.4","0.09","0.56","null","null","null",2,1,"Top","null","null",,,"643376",,"null",-7.822832806536086,-120.06181744462778,-6.251513645460996,13.201869611863835,20.801919200814783,-27.251772545372123,"3.59","1.70","null","null","null","82.9","1578","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.16","null","null","null","null","null","null","null",3,"3","Changeup",0,0,0,0,0,0,0,0,"Standard","Strategic"
"FF","2020-09-24","91.6","2.04","5.90","Hyun Jin Ryu",543305,547943,"null","ball",,,,,"13","null","R","R","L","TOR","NYY","B","null","null",0,1,2020,"1.0","1.1","-1.52","1.76","null","null","null",2,1,"Top","null","null",,,"643376",,"null",-11.05359143494879,-132.8507929790919,-6.948002645470594,13.56247988138144,26.701852129717754,-17.95432081105137,"3.66","1.66","null","null","null","91.9","2056","6.5",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","53.96","null","null","null","null","null","null","null",3,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Standard","Strategic"
"CU","2020-09-24","72.8","2.38","6.14","Hyun Jin Ryu",543305,547943,"null","called_strike",,,,,"9","null","R","R","L","TOR","NYY","S","null","null",0,0,2020,"-0.9","-1.0","0.51","1.95","null","null","null",2,1,"Top","null","null",,,"643376",,"null",-2.16311262603933,-106.02460368065458,0.7570279258443557,-6.548125933125341,18.68663335576785,-40.34508340835199,"3.37","1.66","null","null","null","72.5","2588","6.1",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.44","null","null","null","null","null","null","null",3,"1","Curveball",0,0,0,0,0,0,0,0,"Standard","Strategic"
"CH","2020-09-24","82.3","2.61","5.81","Hyun Jin Ryu",572228,547943,"field_out","hit_into_play",,,,,"8","Luke Voit grounds out softly, shortstop Bo Bichette to first baseman Vladimir Guerrero Jr. ","R","R","L","TOR","NYY","X",6,"ground_ball",1,0,2020,"1.1","0.8","-0.03","1.56","null","null","null",1,1,"Top","122.16","193.68",,,"643376",,"null",-8.076359489296301,-119.77013686577178,-4.792286771094641,11.792464309794704,18.184098278105193,-23.755318760362385,"3.47","1.66","26","53.1","1","83.1","1796","6.3",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.17","0.129","0.116","0.00",1,0,0,1,2,"2","Changeup",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FC","2020-09-24","84.2","2.48","5.99","Hyun Jin Ryu",572228,547943,"null","ball",,,,,"14","null","R","R","L","TOR","NYY","B","null","null",0,0,2020,"-0.1","0.6","0.83","1.28","null","null","null",1,1,"Top","null","null",,,"643376",,"null",-3.5465363767133247,-122.65247203563246,-5.846744713764733,-0.7953463503111692,19.93610443396926,-25.35351181246632,"3.52","1.69","null","null","null","84.8","1987","6.2",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.25","null","null","null","null","null","null","null",2,"1","Cutter",0,0,0,0,0,0,0,0,"Infield shift","Standard"
"FF","2020-09-24","89.0","2.23","6.01","Hyun Jin Ryu",518934,547943,"field_out","hit_into_play",,,,,"1","DJ LeMahieu flies out to left fielder Lourdes Gurriel Jr. ","R","R","L","TOR","NYY","X",7,"fly_ball",0,1,2020,"0.7","1.1","-0.77","3.25","null","null","null",0,1,"Top","105.81","50.85",,,"643376",,"null",-8.868522064401335,-129.3573099929398,-3.0561691446252905,9.901513886993628,26.67038156186847,-19.31648593036604,"3.36","1.61","354","94.6","27","89.1","1974","6.4",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.10","0.186","0.209","0.00",1,0,0,5,1,"2","4-Seam Fastball",0,0,0,0,0,0,0,0,"Strategic","Strategic"
"SI","2020-09-24","89.1","2.33","6.02","Hyun Jin Ryu",518934,547943,"null","called_strike",,,,,"5","null","R","R","L","TOR","NYY","S","null","null",0,0,2020,"1.2","0.8","0.20","2.58","null","null","null",0,1,"Top","null","null",,,"643376",,"null",-7.691152810839668,-129.668943420703,-4.077992537400102,14.838401409556628,24.328766227713157,-22.976999233399663,"3.47","1.73","null","null","null","89.4","2027","6.2",630887,547943,"643376","665489","542340","624415","666182","666971","545341","606192","54.28","null","null","null","null","null","null","null",1,"1","Sinker",0,0,0,0,0,0,0,0,"Strategic","Strategic"
"FC","2020-09-19","85.3","2.28","5.76","Hyun Jin Ryu",664068,547943,"strikeout","swinging_strike",,,,,"13","Scott Kingery strikes out swinging.  ","R","R","L","PHI","TOR","S",2,"null",2,2,2020,"-0.1","0.4","-1.51","1.71","null","null","null",2,6,"Bot","null","null",,,"643376",,"null",-8.83830168102153,-123.90412357632707,-4.101046819857837,1.0992909383072063,25.071140703252155,-27.012698865116025,"3.43","1.57","null","null","null","85.8","2091","6.8",631123,547943,"643376","543768","542340","605412","666182","666971","545341","624415","53.74","null","null","0.00",1,0,0,"null",47,"5","Cutter",2,1,2,1,1,2,2,1,"Standard","Standard"
"FC","2020-09-19","82.8","2.48","5.78","Hyun Jin Ryu",664068,547943,"null","ball",,,,,"14","null","R","R","L","PHI","TOR","B","null","null",1,2,2020,"-0.2","0.3","1.17","2.11","null","null","null",2,6,"Bot","null","null",,,"643376",,"null",-2.7010338289341664,-120.66130797038228,-2.57806963273056,-1.027465944375156,23.08213475018389,-28.694462916724863,"3.56","1.64","null","null","null","83.4","2062","6.5",631123,547943,"643376","543768","542340","605412","666182","666971","545341","624415","53.96","null","null","null","null","null","null","null",47,"4","Cutter",2,1,2,1,1,2,2,1,"Standard","Standard"
"FC","2020-09-19","85.6","2.37","5.80","Hyun Jin Ryu",664068,547943,"null","swinging_strike",,,,,"2","null","R","R","L","PHI","TOR","S","null","null",1,1,2020,"0.0","0.7","0.09","3.33","null","null","null",2,6,"Bot","null","null",,,"643376",,"null",-5.36416540667224,-124.61099852928886,-1.035081598619069,0.8063316111110846,22.633610429366477,-24.833084499953028,"3.43","1.57","null","null","null","86.3","2049","6.5",631123,547943,"643376","543768","542340","605412","666182","666971","545341","624415","53.99","null","null","null","null","null","null","null",47,"3","Cutter",2,1,2,1,1,2,2,1,"Standard","Standard"
"SI","2020-09-19","89.5","2.58","5.65","Hyun Jin Ryu",664068,547943,"null","ball",,,,,"14","null","R","R","L","PHI","TOR","B","null","null",0,1,2020,"1.6","0.7","0.22","1.27","null","null","null",2,6,"Bot","null","null",,,"643376",,"null",-9.127244395217138,-129.87299012961765,-6.3328814623444565,19.598774681037806,27.799722167618015,-22.59921188854285,"3.59","1.59","null","null","null","89.6","1957","6.6",631123,547943,"643376","543768","542340","605412","666182","666971","545341","624415","53.94","null","null","null","null","null","null","null",47,"2","Sinker",2,1,2,1,1,2,2,1,"Standard","Standard"
"CH","2020-09-19","78.8","2.62","5.64","Hyun Jin Ryu",664068,547943,"null","swinging_strike",,,,,"14","null","R","R","L","PHI","TOR","S","null","null",0,0,2020,"1.6","0.7","0.91","2.25","null","null","null",2,6,"Bot","null","null",,,"643376",,"null",-6.684082254651693,-114.52575925744897,-1.8504779298449774,15.220882395217771,22.01506363208793,-25.668762590977973,"3.43","1.57","null","null","null","78.8","1663","6.4",631123,547943,"643376","543768","542340","605412","666182","666971","545341","624415","54.08","null","null","null","null","null","null","null",47,"1","Changeup",2,1,2,1,1,2,2,1,"Standard","Standard"
