name,throw_bat,year,decade,avg,obp,slg,ops,hr,rbi,rank,team_game
ÃÖÅÂ¿ø,¿ì¿ì,1997,1990,0.306,0.366,0.386,0.752,2,39,12,126
ÀÌ½Â¿±,ÁÂÁÂ,1998,1990,0.306,0.408,0.621,1.029,38,102,8,126
Á¤¼ö±Ù,ÁÂÁÂ,2001,2000,0.306,0.397,0.403,0.8,2,53,16,133
Àå¼ºÈ£,ÁÂÁÂ,2006,2000,0.306,0.416,0.456,0.872,13,79,4,126
ÃÖµ¿¼ö,¿ì¿ì,2007,2000,0.306,0.38,0.443,0.823,12,58,13,126
¹ÚÁ¤±Ç,ÁÂÁÂ,2010,2000,0.306,0.399,0.494,0.893,18,76,11,133
¼Õ¾Æ¼·,¿ìÁÂ,2010,2000,0.306,0.373,0.438,0.812,11,47,12,133
È«¼ºÈç,¿ì¿ì,2011,2010,0.306,0.379,0.403,0.782,6,67,8,133
ÀÌº´±Ô2,ÁÂÁÂ,2014,2010,0.306,0.428,0.533,0.961,16,87,32,128
ÀÌÅÃ±Ù,¿ì¿ì,2014,2010,0.306,0.385,0.526,0.911,21,91,33,128
Á¤¼öºó,ÁÂÁÂ,2014,2010,0.306,0.364,0.422,0.787,6,49,34,128
ÃÖÁØ¼®,¿ì¿ì,2015,2010,0.306,0.428,0.529,0.956,31,109,23,144
±è¹Î¼º,¿ì¿ì,2016,2010,0.306,0.374,0.502,0.876,17,90,37,144
¿ÀÀçÀÏ,ÁÂÁÂ,2017,2010,0.306,0.38,0.561,0.941,26,89,25,144
À¯ÇÑÁØ,¿ì¿ì,2017,2010,0.306,0.37,0.436,0.806,13,68,26,144
È£À×,¿ìÁÂ,2018,2010,0.306,0.373,0.573,0.945,30,110,29,144
±èÇÏ¼º,¿ì¿ì,2020,2010,0.306,0.397,0.523,0.921,30,109,16,144
¹Ú¼®¹Î,¿ì¿ì,2020,2010,0.306,0.436,0.466,0.902,14,63,17,144
ÀÌ¸í±â,ÁÂÁÂ,2020,2010,0.306,0.374,0.369,0.743,2,45,18,144
ÃÖÁÖÈ¯,¿ìÁÂ,2020,2010,0.306,0.366,0.473,0.84,16,88,19,144
ÅÍÄ¿,ÁÂÁÂ,2020,2010,0.306,0.398,0.557,0.955,32,113,20,144
±è¼ºÇÑ,¿ì¿ì,1982,1980,0.305,0.34,0.506,0.847,13,69,10,80
·ùÁöÇö,¿ì¿ì,1994,1990,0.305,0.386,0.44,0.825,15,51,6,126
È«Çö¿ì,¿ì¿ì,1995,1990,0.305,0.386,0.465,0.851,16,65,8,126
ÀÌº´±Ô,ÁÂÁÂ,1997,1990,0.305,0.369,0.442,0.812,7,69,13,126
¿ìÁî,¿ì¿ì,1998,1990,0.305,0.395,0.619,1.014,42,103,9,126
±è¿ø¼·,¿ìÁÂ,2008,2000,0.305,0.396,0.369,0.765,0,30,14,126
°­¹ÎÈ£,¿ì¿ì,2010,2000,0.305,0.38,0.524,0.905,23,72,13,133
Á¤±Ù¿ì,¿ì¿ì,2010,2000,0.305,0.361,0.377,0.739,2,48,14,133
¹Ú¿ëÅÃ,¿ìÁÂ,2012,2010,0.305,0.366,0.451,0.817,11,76,8,133
ÃÖÇü¿ì,¿ìÁÂ,2013,2010,0.305,0.372,0.53,0.902,29,98,13,128
ÀÌÁ¾¿í,ÁÂÁÂ,2016,2010,0.305,0.377,0.408,0.785,5,57,38,144
·ÎÇÏ½º,¿ì¾ç,2018,2010,0.305,0.389,0.59,0.979,43,114,30,144
±èÅÂ±Õ2,¿ì¿ì,2019,2010,0.305,0.388,0.395,0.783,6,62,13,144
»÷Áî,¿ì¿ì,2019,2010,0.305,0.4,0.543,0.943,28,113,14,144
ÀÌ¼øÃ¶,¿ì¿ì,1985,1980,0.304,0.364,0.477,0.841,12,50,8,110
ÀÌ±¤Àº,¿ì¿ì,1986,1980,0.304,0.384,0.48,0.864,15,60,3,108
À±´ö±Ô,ÁÂÁÂ,1988,1980,0.304,0.367,0.378,0.745,1,43,14,108
±è¿ëÃ¶,¿ì¿ì,1989,1980,0.304,0.366,0.453,0.819,11,64,4,120
ÀÌÈ£¼º,¿ì¿ì,1990,1980,0.304,0.39,0.46,0.85,7,48,7,120
°­±â¿õ,¿ì¿ì,1992,1990,0.304,0.357,0.484,0.841,16,56,10,126
¼Û±¸È«,¿ì¿ì,1992,1990,0.304,0.342,0.497,0.839,20,59,11,126
½ÉÁ¤¼ö,¿ì¿ì,2000,1990,0.304,0.407,0.551,0.958,29,91,15,133
ÃÖ±â¹®,¿ì¾ç,2001,2000,0.304,0.368,0.41,0.778,7,47,17,133
¹ÚÀçÈ«,¿ì¿ì,2005,2000,0.304,0.4,0.487,0.887,18,63,7,126
¹ÚÇÑÀÌ,ÁÂÁÂ,2012,2010,0.304,0.385,0.381,0.766,1,51,9,133
¹Ú¹Î¿ì,¿ìÁÂ,2015,2010,0.304,0.402,0.404,0.805,3,47,24,144
¹Îº´Çå,¿ì¿ì,2017,2010,0.304,0.393,0.445,0.838,14,71,27,144
±èÇö¼ö,¿ìÁÂ,2019,2010,0.304,0.375,0.437,0.813,11,82,15,144
±è»ó¼ö,¿ì¿ì,2020,2010,0.304,0.397,0.401,0.798,5,47,21,144
¹Ú°Ç¿ì,¿ì¿ì,2020,2010,0.304,0.369,0.472,0.841,14,70,22,144
ÀåÈ¿Á¶,ÁÂÁÂ,1989,1980,0.303,0.408,0.354,0.763,1,31,5,120
±è¹ÎÈ£,ÁÂÁÂ,1991,1990,0.303,0.389,0.559,0.949,20,68,10,126
¹Ú³ëÁØ,ÁÂÁÂ,1994,1990,0.303,0.364,0.379,0.744,3,36,7,126
±è±¤¸²,ÁÂÁÂ,1996,1990,0.303,0.365,0.385,0.75,2,49,7,126
ÀÌ½Â¿±,ÁÂÁÂ,1996,1990,0.303,0.357,0.458,0.814,9,76,8,126
ÀÌÈ£ÁØ,¿ì¿ì,1998,1990,0.303,0.352,0.507,0.859,19,77,10,126
°­¼®Ãµ,¿ì¿ì,1999,1990,0.303,0.366,0.397,0.763,5,42,17,132
·ùÁöÇö,¿ì¿ì,1999,1990,0.303,0.391,0.478,0.868,11,45,18,132
Á¶°æÈ¯,¿ì¿ì,2001,2000,0.303,0.379,0.559,0.938,26,102,18,133
Å¬¸®¾î,¿ì¿ì,2005,2000,0.303,0.375,0.493,0.868,15,61,8,126
¾çÁØÇõ,ÁÂÁÂ,2006,2000,0.303,0.451,0.477,0.928,13,81,5,126
¹Ú¼®¹Î,¿ì¿ì,2010,2000,0.303,0.44,0.48,0.921,15,64,15,133
ÀÌÁ¾¿í,ÁÂÁÂ,2011,2010,0.303,0.376,0.385,0.761,5,44,9,133
±è¿ø¼·,¿ìÁÂ,2012,2010,0.303,0.401,0.402,0.802,3,61,10,133
¹Úº´È£,¿ì¿ì,2014,2010,0.303,0.436,0.686,1.122,52,124,35,128
±è¹Î¼º,¿ì¿ì,2015,2010,0.303,0.358,0.465,0.823,16,71,25,144
¹Îº´Çå,¿ì¿ì,2015,2010,0.303,0.373,0.426,0.799,12,75,26,144
ÀÌ½Â¿±,ÁÂÁÂ,2016,2010,0.303,0.385,0.518,0.904,27,118,39,144
°­ÇÑ¿ï,¿ìÁÂ,2017,2010,0.303,0.338,0.34,0.678,0,24,28,144
¹øÁî,¿ì¿ì,2017,2010,0.303,0.361,0.499,0.86,15,57,29,144
¹Ú¿ëÅÃ,¿ìÁÂ,2018,2010,0.303,0.366,0.466,0.832,15,76,31,144
¾ç½Â°ü,¿ì¿ì,1983,1980,0.302,0.36,0.468,0.828,9,30,6,100
±è±âÅÂ,ÁÂÁÂ,1992,1990,0.302,0.465,0.621,1.086,31,96,12,126
Á¶¿ø¿ì,¿ì¿ì,2005,2000,0.302,0.362,0.407,0.77,6,42,9,126
°­µ¿¿ì,ÁÂÁÂ,2009,2000,0.302,0.384,0.429,0.813,10,48,12,133
ÃÖÁØ¼®,¿ì¿ì,2009,2000,0.302,0.39,0.474,0.864,17,94,13,133
¹Ú¿ëÅÃ,¿ìÁÂ,2011,2010,0.302,0.35,0.466,0.816,15,64,10,133
±èÇö¼ö,¿ìÁÂ,2013,2010,0.302,0.392,0.47,0.862,16,90,14,128
±è°­¹Î,¿ì¿ì,2014,2010,0.302,0.37,0.495,0.865,16,82,36,128
ÀÌ´ëÇü,ÁÂÁÂ,2015,2010,0.302,0.364,0.355,0.72,0,37,27,144
±èÇÏ¼º,¿ì¿ì,2017,2010,0.302,0.379,0.513,0.892,23,114,30,144
ÀÌ¸í±â,ÁÂÁÂ,2018,2010,0.302,0.355,0.418,0.774,4,42,32,144
±èÁØÈ¯,¿ì¿ì,1982,1980,0.301,0.345,0.549,0.894,19,45,11,80
¾ç¼¼Á¾,¿ì¿ì,1984,1980,0.301,0.367,0.441,0.809,6,47,7,100
±èÁØÈ¯,¿ì¿ì,1985,1980,0.301,0.359,0.405,0.763,5,38,9,110
ÇÑ¿µÁØ,¿ì¿ì,1987,1980,0.301,0.365,0.41,0.775,6,36,13,108
±èÀÏ±Ç,¿ì¿ì,1988,1980,0.301,0.33,0.398,0.728,3,34,15,108
¹ÚÈï½Ä,ÁÂÁÂ,1988,1980,0.301,0.362,0.402,0.763,4,34,16,108
ÇÑ´ëÈ­,¿ì¿ì,1991,1990,0.301,0.399,0.565,0.964,22,73,11,126
¹ÚÇö½Â,¿ì¿ì,1997,1990,0.301,0.364,0.522,0.887,19,63,14,126
¹ÚÁ¾È£,¿ì¾ç,1999,1990,0.301,0.38,0.47,0.849,10,55,19,132
¹ÚÀçÈ«,¿ì¿ì,2003,2000,0.301,0.39,0.51,0.9,19,66,12,133
ÀÌ½Â¿±,ÁÂÁÂ,2003,2000,0.301,0.432,0.699,1.132,56,144,13,133
ÀÌ´ëÈ£,¿ì¿ì,2008,2000,0.301,0.41,0.478,0.888,18,94,15,126
ÀÌÁ¾¿í,ÁÂÁÂ,2008,2000,0.301,0.373,0.354,0.727,0,28,16,126
±è¿ø¼·,¿ìÁÂ,2009,2000,0.301,0.4,0.458,0.857,8,43,14,133
Á¤¼ºÈÆ,¿ì¿ì,2009,2000,0.301,0.386,0.427,0.813,10,70,15,133
°­Á¤È£,¿ì¿ì,2010,2000,0.301,0.39,0.457,0.847,12,58,16,133
¹ÚÇÑÀÌ,ÁÂÁÂ,2010,2000,0.301,0.409,0.454,0.862,11,63,17,133
±èÇö¼ö,¿ìÁÂ,2011,2010,0.301,0.399,0.444,0.843,13,91,11,133
¾çÀÇÁö,¿ì¿ì,2011,2010,0.301,0.369,0.386,0.754,4,46,12,133
ÀÌ´ë¼ö,¿ì¿ì,2011,2010,0.301,0.351,0.426,0.777,8,50,13,133
ÀüÁØ¿ì,¿ì¿ì,2011,2010,0.301,0.366,0.451,0.817,11,64,14,133
±è°­¹Î,¿ì¿ì,2013,2010,0.301,0.371,0.466,0.836,10,55,15,128
³ªÁö¿Ï,¿ì¿ì,2017,2010,0.301,0.41,0.534,0.944,27,94,31,144
ÃÖÁÖÈ¯,¿ìÁÂ,2017,2010,0.301,0.374,0.424,0.797,7,57,32,144
ÀÌ¿ø¼®,¿ì¿ì,2018,2010,0.301,0.377,0.493,0.87,20,93,33,144
ÀüÁØ¿ì,¿ì¿ì,2019,2010,0.301,0.362,0.481,0.843,22,83,16,144
±è¿ëÃ¶,¿ì¿ì,1982,1980,0.3,0.406,0.47,0.876,10,39,12,80
±èÀç¹Ú,¿ì¿ì,1984,1980,0.3,0.372,0.423,0.795,7,37,8,100
±è»óÈÆ,ÁÂÁÂ,1985,1980,0.3,0.355,0.428,0.783,5,51,10,110
ÀÌ¼±¿õ,¿ì¿ì,1985,1980,0.3,0.356,0.415,0.771,6,53,11,110
±èºÀ¿¬,¿ì¿ì,1986,1980,0.3,0.364,0.514,0.878,21,67,4,108
¹ÚÈï½Ä,ÁÂÁÂ,1987,1980,0.3,0.382,0.392,0.774,2,36,14,108
±èÁ¾¸ð,¿ì¿ì,1988,1980,0.3,0.347,0.368,0.715,4,35,17,108
À±´ö±Ô,ÁÂÁÂ,1989,1980,0.3,0.382,0.379,0.761,1,34,6,120
±èÀÀ±¹,ÁÂÁÂ,1991,1990,0.3,0.388,0.438,0.827,9,51,12,126
±è»óÈ£,¿ì¿ì,1992,1990,0.3,0.377,0.489,0.867,12,49,13,126
À±´ö±Ô,ÁÂÁÂ,1992,1990,0.3,0.321,0.438,0.759,8,52,14,126
ÀüÁØÈ£,ÁÂÁÂ,1992,1990,0.3,0.37,0.408,0.778,5,49,15,126
±è±¤¸²,ÁÂÁÂ,1993,1990,0.3,0.351,0.377,0.728,3,32,5,126
±è¼º·¡,¿ì¿ì,1993,1990,0.3,0.4,0.544,0.944,28,91,6,126
À±´ö±Ô,ÁÂÁÂ,1993,1990,0.3,0.355,0.369,0.725,1,31,7,126
¾çÁØÇõ,ÁÂÁÂ,1994,1990,0.3,0.389,0.487,0.876,19,87,8,126
°­µ¿¿ì,ÁÂÁÂ,1998,1990,0.3,0.357,0.466,0.823,10,30,11,126
±èÇÑ¼ö,¿ì¿ì,1998,1990,0.3,0.33,0.454,0.784,15,80,12,126
È«Çö¿ì,¿ì¿ì,1999,1990,0.3,0.382,0.563,0.945,34,111,20,132
¹ÚÁø¸¸,¿ì¿ì,2001,2000,0.3,0.372,0.507,0.879,22,63,19,133
ÀÌ¼þ¿ë,ÁÂÁÂ,2001,2000,0.3,0.376,0.442,0.818,10,64,20,133
ÀüÁØÈ£,ÁÂÁÂ,2002,2000,0.3,0.384,0.395,0.779,3,28,9,133
±èÀçÇö,ÁÂÁÂ,2004,2000,0.3,0.421,0.477,0.898,14,62,12,133
¶óÀÌ¿Â,ÁÂÁÂ,2004,2000,0.3,0.347,0.458,0.805,12,55,13,133
¹Ú¿ëÅÃ,¿ìÁÂ,2004,2000,0.3,0.353,0.471,0.823,16,58,14,133
Àå¼ºÈ£,ÁÂÁÂ,2004,2000,0.3,0.404,0.481,0.885,19,80,15,133
Àå¼ºÈ£,ÁÂÁÂ,2005,2000,0.3,0.384,0.457,0.841,16,74,10,126
ÀÌÁø¿µ,ÁÂÁÂ,2009,2000,0.3,0.366,0.463,0.83,14,69,16,133
¹Ú¿ëÅÃ,¿ìÁÂ,2010,2000,0.3,0.368,0.43,0.797,9,45,18,133
Á¤¿ø¼®,¿ì¿ì,2010,2000,0.3,0.386,0.433,0.819,7,42,19,133
ÃÖÁ¤,¿ì¿ì,2010,2000,0.3,0.39,0.533,0.922,20,80,20,133
ÀÌº´±Ô,ÁÂÁÂ,2012,2010,0.3,0.334,0.4,0.734,5,41,11,133
ÀÌÈ£ÁØ,¿ì¿ì,2012,2010,0.3,0.408,0.488,0.896,18,78,12,133
ÃÖÁ¤,¿ì¿ì,2012,2010,0.3,0.388,0.538,0.926,26,84,13,133
ÃÖÁøÇà,¿ì¿ì,2013,2010,0.3,0.387,0.439,0.826,8,53,16,128
Á¤ÈÆ,¿ì¿ì,2015,2010,0.3,0.379,0.42,0.799,9,62,28,144
¹ÚÇØ¹Î,¿ìÁÂ,2016,2010,0.3,0.346,0.41,0.756,4,61,40,144
½ºÅ©·°½º,¿ì¿ì,2017,2010,0.3,0.405,0.595,1,35,111,33,144
±èÇå°ï,¿ì¿ì,2018,2010,0.3,0.375,0.423,0.798,11,71,34,144
¼­°ÇÃ¢,¿ìÁÂ,2019,2010,0.3,0.374,0.383,0.757,2,41,17,144
ÃÖÇü¿ì,¿ìÁÂ,2019,2010,0.3,0.418,0.485,0.903,17,86,18,144
¿ÀÁöÈ¯,¿ìÁÂ,2020,2010,0.3,0.362,0.461,0.823,10,71,23,144
±è±Ù¼®,¿ì¿ì,1984,1980,0.299,0.339,0.399,0.737,5,30,9,100
ÀåÁ¾ÈÆ,¿ì¿ì,1992,1990,0.299,0.451,0.659,1.11,41,119,16,126
±èÀÀ±¹,ÁÂÁÂ,1995,1990,0.299,0.4,0.426,0.826,8,61,9,126
±èÁ¾¼®,ÁÂÁÂ,1995,1990,0.299,0.354,0.435,0.79,4,56,10,126
È«¼ºÈç,¿ì¿ì,2013,2010,0.299,0.379,0.439,0.819,15,72,17,128
¹ÚÇØ¹Î,¿ìÁÂ,2018,2010,0.299,0.359,0.432,0.792,9,68,35,144
ÇÑ´ëÈ­,¿ì¿ì,1986,1980,0.298,0.368,0.503,0.871,14,66,5,108
ÀÌ±¤Àº,¿ì¿ì,1987,1980,0.298,0.365,0.461,0.826,14,74,15,108
¹Ú³ëÁØ,ÁÂÁÂ,1989,1980,0.298,0.356,0.347,0.703,0,26,7,120
ÀÌ¿ø¼®,¿ì¿ì,2009,2000,0.298,0.355,0.444,0.799,9,53,17,133
±è»ó¼ö,¿ì¿ì,2013,2010,0.298,0.351,0.417,0.768,7,44,18,128
¹Ú¹Î¿ì,¿ìÁÂ,2014,2010,0.298,0.392,0.399,0.791,1,40,37,128
ÀÌÈ£ÁØ,¿ì¿ì,2016,2010,0.298,0.397,0.506,0.904,21,87,41,144
Á¤¼öºó,ÁÂÁÂ,2020,2010,0.298,0.368,0.396,0.764,5,59,24,144
ÀÌ°­µ·,ÁÂÁÂ,1986,1980,0.297,0.365,0.458,0.824,10,36,6,108
¹éÀÎ¼ö,¿ì¿ì,1990,1980,0.297,0.398,0.424,0.822,8,34,8,120
ÇÑ´ëÈ­,¿ì¿ì,1994,1990,0.297,0.388,0.429,0.816,10,67,9,126
¿ìÁî,¿ì¿ì,1999,1990,0.297,0.409,0.566,0.975,34,101,21,132
ÀÌ¿µ¿ì,ÁÂÁÂ,2003,2000,0.297,0.399,0.466,0.865,16,71,14,133
ÀÌº´±Ô,ÁÂÁÂ,2006,2000,0.297,0.344,0.406,0.75,7,55,6,126
±è¼ºÇö,¿ì¿ì,2015,2010,0.297,0.349,0.408,0.757,8,48,29,144
¼Û±¤¹Î,¿ì¿ì,2018,2010,0.297,0.331,0.477,0.808,18,79,36,144
±èÇå°ï,¿ì¿ì,2019,2010,0.297,0.362,0.387,0.749,5,46,19,144
ÀÌÁ¾µµ,¿ì¿ì,1983,1980,0.296,0.37,0.452,0.821,8,62,7,100
±è¹ÎÈ£,ÁÂÁÂ,1994,1990,0.296,0.363,0.485,0.848,15,78,10,126
ÃÖÅÂ¿ø,¿ì¿ì,1995,1990,0.296,0.339,0.347,0.686,1,30,11,126
ÃÖÀÍ¼º,¿ì¿ì,1997,1990,0.296,0.39,0.494,0.884,22,65,15,126
·Î¸¶ÀÌ¾î,¿ì¿ì,2000,1990,0.296,0.372,0.543,0.915,29,96,16,133
Á¤°æ¹è,¿ì¿ì,2004,2000,0.296,0.359,0.434,0.793,9,47,16,133
ÀüÁØÈ£,ÁÂÁÂ,2007,2000,0.296,0.371,0.332,0.703,1,13,14,126
ÀÌ¼þ¿ë,ÁÂÁÂ,2009,2000,0.296,0.377,0.401,0.778,4,52,18,133
¿¡¹Ý½º,¿ì¿ì,2017,2010,0.296,0.374,0.49,0.864,27,90,34,144
À¯°­³²,¿ì¿ì,2018,2010,0.296,0.351,0.508,0.86,19,66,37,144
È²Àç±Õ,¿ì¿ì,2018,2010,0.296,0.359,0.526,0.885,25,88,38,144
Á¶¿ëÈ£,¿ìÁÂ,2020,2010,0.296,0.392,0.333,0.725,0,32,25,144
±è»óÈÆ,ÁÂÁÂ,1986,1980,0.295,0.349,0.391,0.74,2,42,7,108
ÀÌ°­µ·,ÁÂÁÂ,1989,1980,0.295,0.342,0.422,0.764,9,66,8,120
±è¿ë±¹,¿ì¿ì,1991,1990,0.295,0.375,0.404,0.779,7,58,13,126
ÀåÁ¾ÈÆ,¿ì¿ì,1993,1990,0.295,0.411,0.507,0.919,17,58,8,126
±è°æ±â,¿ì¿ì,1995,1990,0.295,0.369,0.455,0.824,12,46,12,126
¹ÚÀçÈ«,¿ì¿ì,1996,1990,0.295,0.373,0.559,0.933,30,108,9,126
±èÀçÇö,ÁÂÁÂ,1998,1990,0.295,0.364,0.471,0.835,16,76,13,126
¹ÚÀçÈ«,¿ì¿ì,1999,1990,0.295,0.4,0.504,0.905,24,98,22,132
±èÇÑ¼ö,¿ì¿ì,2003,2000,0.295,0.354,0.454,0.808,17,70,15,133
°­µ¿¿ì,ÁÂÁÂ,2004,2000,0.295,0.363,0.37,0.733,3,49,17,133
¹Ú°æ¿Ï,¿ì¿ì,2004,2000,0.295,0.437,0.595,1.032,34,79,18,133
¹ÚÇÑÀÌ,ÁÂÁÂ,2005,2000,0.295,0.371,0.397,0.768,9,59,11,126
¾ÈÄ¡¿ë,¿ì¿ì,2008,2000,0.295,0.359,0.441,0.8,7,52,17,126
¹ÚÀç»ó,ÁÂÁÂ,2009,2000,0.295,0.371,0.458,0.829,15,81,19,133
±èµ¿ÁÖ,¿ì¿ì,2010,2000,0.295,0.411,0.506,0.917,20,67,21,133
¹è¿µ¼·,¿ì¿ì,2013,2010,0.295,0.397,0.372,0.769,2,38,19,128
ÀÌ¿ë±Ô,ÁÂÁÂ,2013,2010,0.295,0.368,0.367,0.735,2,22,20,128
Á¤±Ù¿ì,¿ì¿ì,2014,2010,0.295,0.388,0.416,0.804,6,44,38,128
±èÁ¾È£,ÁÂÁÂ,2015,2010,0.295,0.359,0.394,0.753,4,36,30,144
Á¤¼öºó,ÁÂÁÂ,2015,2010,0.295,0.353,0.391,0.744,2,59,31,144
´ë´Ïµ·,ÁÂÁÂ,2016,2010,0.295,0.402,0.494,0.896,16,70,42,144
±è¼±ºó,¿ì¿ì,2018,2010,0.295,0.374,0.375,0.749,4,49,39,144
ÀÌ¼º¿­,¿ìÁÂ,2018,2010,0.295,0.348,0.553,0.9,34,102,40,144
¼Õ¾Æ¼·,¿ìÁÂ,2019,2010,0.295,0.36,0.4,0.761,10,63,20,144
Á¤ÈÆ,¿ì¿ì,2020,2010,0.295,0.382,0.427,0.809,11,58,26,144
ÀÌ¸¸¼ö,¿ì¿ì,1983,1980,0.294,0.377,0.555,0.932,27,74,8,100
ÀÌÇØÃ¢,¿ì¿ì,1983,1980,0.294,0.37,0.43,0.8,8,46,9,100
ÀÌÁ¾µÎ,¿ì¿ì,1986,1980,0.294,0.339,0.427,0.766,9,42,8,108
±è¼ºÇÑ,¿ì¿ì,1991,1990,0.294,0.392,0.547,0.939,23,83,14,126
±èµ¿±â,¿ì¿ì,1992,1990,0.294,0.386,0.486,0.873,15,58,17,126
½ÉÁ¤¼ö,¿ì¿ì,1998,1990,0.294,0.347,0.491,0.837,19,73,14,126
¸¶ÇØ¿µ,¿ì¿ì,2000,1990,0.294,0.38,0.487,0.867,23,90,17,133
½ÉÁ¤¼ö,¿ì¿ì,2001,2000,0.294,0.405,0.491,0.896,18,70,21,133
ÀÌ¼þ¿ë,ÁÂÁÂ,2003,2000,0.294,0.353,0.448,0.801,18,76,16,133
¹Ú¿ëÅÃ,¿ìÁÂ,2006,2000,0.294,0.363,0.462,0.825,16,64,7,126
±èÁÖÂù,¿ì¿ì,2012,2010,0.294,0.342,0.405,0.746,5,39,14,133
Á¤ÈÆ,¿ì¿ì,2014,2010,0.294,0.383,0.398,0.781,3,58,39,128
ÀÌÈ£ÁØ,¿ì¿ì,2015,2010,0.294,0.38,0.51,0.89,24,110,32,144
½Åº»±â,¿ì¿ì,2018,2010,0.294,0.357,0.442,0.799,11,71,41,144
Á¤±¸¼±,¿ì¿ì,1984,1980,0.293,0.404,0.442,0.846,12,46,10,100
Çã±Ô¿Á,ÁÂÁÂ,1986,1980,0.293,0.339,0.396,0.735,4,33,9,108
±èÁØÈ¯,¿ì¿ì,1988,1980,0.293,0.35,0.439,0.789,11,48,18,108
¹Ú³ëÁØ,ÁÂÁÂ,1991,1990,0.293,0.34,0.386,0.726,5,39,15,126
ÀåÁ¾ÈÆ,¿ì¿ì,1997,1990,0.293,0.389,0.515,0.904,22,76,16,126
±è±âÅÂ,ÁÂÁÂ,1999,1990,0.293,0.404,0.551,0.955,28,88,23,132
±èÀÀ±¹,ÁÂÁÂ,1999,1990,0.293,0.37,0.428,0.799,8,60,24,132
ÀÌ½Â¿±,ÁÂÁÂ,2000,1990,0.293,0.407,0.604,1.01,36,95,18,133
È«¼¼¿Ï,¿ì¿ì,2001,2000,0.293,0.355,0.443,0.798,14,72,22,133
ÀÌº´±Ô,ÁÂÁÂ,2002,2000,0.293,0.376,0.45,0.825,12,43,10,133
ÀÌÁ¾¹ü,¿ì¿ì,2002,2000,0.293,0.363,0.464,0.827,18,59,11,133
¹ÚÁ¾È£,¿ì¾ç,2003,2000,0.293,0.358,0.396,0.754,6,61,17,133
ÀÌ¼þ¿ë,ÁÂÁÂ,2004,2000,0.293,0.383,0.412,0.795,9,85,19,133
±èÇÑ¼ö,¿ì¿ì,2005,2000,0.293,0.372,0.448,0.821,15,73,12,126
¾È°æÇö,¿ì¿ì,2005,2000,0.293,0.381,0.38,0.761,4,62,13,126
Á¤¼ö±Ù,ÁÂÁÂ,2007,2000,0.293,0.364,0.408,0.771,4,36,15,126
ºê·ë¹Ù,¿ì¿ì,2008,2000,0.293,0.392,0.45,0.842,13,61,18,126
ÀÌ´ëÈ£,¿ì¿ì,2009,2000,0.293,0.38,0.531,0.911,28,100,20,133
Ã¤ÅÂÀÎ,ÁÂÁÂ,2009,2000,0.293,0.383,0.514,0.897,17,72,21,133
¹ÚÇØ¹Î,¿ìÁÂ,2015,2010,0.293,0.35,0.362,0.712,0,47,33,144
ÀÌ¿ë±Ô,ÁÂÁÂ,2018,2010,0.293,0.377,0.332,0.709,1,36,42,144
ÀÓº´¿í,¿ìÁÂ,2018,2010,0.293,0.328,0.468,0.796,13,60,43,144
¿ÀÀçÀÏ,ÁÂÁÂ,2019,2010,0.293,0.371,0.495,0.866,21,102,21,144
ÀÌ¸í±â,ÁÂÁÂ,2019,2010,0.293,0.357,0.353,0.711,2,36,22,144
Ã¤Àº¼º,¿ì¿ì,2020,2010,0.293,0.351,0.452,0.803,15,88,27,144
±è¿ëÃ¶,¿ì¿ì,1988,1980,0.292,0.356,0.5,0.856,18,69,19,108
ÀÌÁ¾µÎ,¿ì¿ì,1988,1980,0.292,0.363,0.455,0.818,9,42,20,108
±èÀÀ±¹,ÁÂÁÂ,1990,1980,0.292,0.372,0.422,0.794,7,47,9,120
±è»óÈÆ,ÁÂÁÂ,1992,1990,0.292,0.357,0.43,0.787,14,77,18,126
±è±¤¸²,ÁÂÁÂ,1997,1990,0.292,0.36,0.379,0.738,2,32,17,126
±èÇÑ¼ö,¿ì¿ì,1997,1990,0.292,0.343,0.412,0.755,9,68,18,126
ÃÖÈÆÀç,ÁÂÁÂ,1997,1990,0.292,0.357,0.469,0.827,12,70,19,126
±è´ëÀÍ,ÁÂÁÂ,1998,1990,0.292,0.357,0.416,0.773,5,40,15,126
¸¶ÇØ¿µ,¿ì¿ì,1998,1990,0.292,0.375,0.465,0.839,15,64,16,126
·Î¸¶ÀÌ¾î,¿ì¿ì,1999,1990,0.292,0.392,0.643,1.034,45,109,25,132
Á¤¼ºÈÆ,¿ì¿ì,1999,1990,0.292,0.342,0.407,0.749,7,39,26,132
ÀüÁØÈ£,ÁÂÁÂ,2004,2000,0.292,0.363,0.366,0.728,4,48,20,133
¼­Æ°,ÁÂÁÂ,2005,2000,0.292,0.416,0.592,1.008,35,102,14,126
°­¹ÎÈ£,¿ì¿ì,2008,2000,0.292,0.373,0.485,0.858,19,82,19,126
È«¼ºÈç,¿ì¿ì,2012,2010,0.292,0.37,0.459,0.829,15,74,15,133
¹ÚÁ¤±Ç,ÁÂÁÂ,2013,2010,0.292,0.4,0.501,0.901,18,70,21,128
±è¹Î¼º,¿ì¿ì,2014,2010,0.292,0.348,0.45,0.798,12,77,40,128
½ÅÁ¾±æ,¿ìÁÂ,2014,2010,0.292,0.343,0.467,0.81,9,51,41,128
