name,code,year,g,tpa,ab,h,2b,3b,hr,tb,rbi,sb,cs,sh,sf,bb,ibb,hbp,so,gidp,e,avg_risp,ops_risp
최형우,72443,2016,138,618,519,195,46,2,31,338,144,2,2,0,7,83,8,9,83,12,3,0.380 ,1.108 
손주인,72456,2016,122,409,354,114,20,3,2,146,39,5,4,12,4,33,0,6,35,6,7,0.241 ,0.607 
조동찬,72466,2016,90,282,247,68,11,1,10,111,36,0,1,3,3,26,0,3,64,7,11,0.222 ,0.622 
문규현,72546,2016,120,368,316,86,10,0,4,108,40,2,3,19,2,29,0,1,39,10,7,0.244 ,0.647 
박경수,73113,2016,121,476,402,126,22,1,20,210,80,3,1,0,4,65,2,5,80,9,13,0.325 ,0.981 
이대형,73153,2016,143,654,600,192,14,3,1,215,42,37,20,7,1,44,0,2,90,6,2,0.315 ,0.757 
손시헌,73213,2016,110,403,341,104,21,2,5,144,39,1,0,10,1,38,0,13,48,13,13,0.311 ,0.817 
지석훈,73306,2016,141,394,351,77,14,0,9,118,54,0,2,6,6,22,0,9,91,9,9,0.232 ,0.710 
이종욱,73339,2016,134,517,453,138,24,4,5,185,57,15,3,4,5,54,0,1,73,11,2,0.315 ,0.848 
이택근,73342,2016,127,460,398,123,19,1,8,168,65,7,4,0,6,53,1,3,56,11,1,0.345 ,0.949 
차일목,73602,2016,117,329,276,63,8,0,3,80,38,0,0,13,6,30,0,4,57,9,6,0.224 ,0.599 
서동욱,73606,2016,124,485,411,120,30,3,16,204,67,9,4,6,3,60,1,5,108,8,6,0.308 ,0.953 
이용규,74163,2016,113,530,452,159,20,4,3,196,41,21,11,7,1,63,1,7,29,7,3,0.374 ,0.951 
김재호,74206,2016,137,496,416,129,27,3,7,183,78,8,4,5,13,57,1,5,52,8,10,0.336 ,0.911 
윤석민,74215,2016,92,402,341,114,15,0,19,186,80,2,3,0,6,46,3,9,50,16,6,0.289 ,0.841 
유한준,74339,2016,110,460,408,137,22,0,14,201,64,4,1,0,3,47,1,2,40,10,1,0.319 ,0.854 
박석민,74465,2016,126,506,427,131,20,0,32,247,104,2,0,2,4,56,2,16,95,18,15,0.354 ,1.169 
강민호,74540,2016,116,460,381,123,26,0,20,209,72,4,0,0,3,66,4,10,91,7,4,0.330 ,1.076 
김주형,74605,2016,135,387,345,97,16,1,19,172,49,1,2,1,1,34,0,6,55,9,11,0.244 ,0.738 
박정권,74846,2016,125,468,422,117,17,3,18,194,59,4,0,2,4,35,0,5,99,7,6,0.243 ,0.716 
정의윤,75151,2016,144,616,576,179,32,1,27,294,100,2,3,0,5,25,3,10,76,15,5,0.301 ,0.886 
오재일,75334,2016,105,455,380,120,20,2,27,225,92,1,0,2,7,64,2,2,73,5,7,0.295 ,0.940 
정근우,75808,2016,138,650,575,178,31,2,18,267,88,22,6,1,5,60,2,9,58,14,16,0.388 ,1.058 
최정,75847,2016,141,606,500,144,24,1,40,290,106,1,2,0,6,77,2,23,126,6,14,0.278 ,1.061 
이병규,76100,2016,103,350,290,79,12,2,7,116,37,8,5,0,3,47,1,10,81,4,3,0.214 ,0.681 
양의지,76232,2016,108,392,332,106,17,0,22,189,66,2,0,1,7,40,1,12,29,20,7,0.245 ,0.700 
민병헌,76249,2016,134,579,511,166,31,4,16,253,87,9,2,1,4,48,1,15,91,18,0,0.357 ,1.040 
황재균,76313,2016,127,559,498,167,26,5,27,284,113,25,10,0,8,49,5,4,66,10,15,0.411 ,1.154 
김문호,76509,2016,140,599,526,171,28,3,7,226,70,12,15,3,2,62,1,6,70,15,5,0.305 ,0.822 
송광민,76753,2016,116,494,449,146,27,2,17,228,83,3,0,7,6,28,0,4,86,16,14,0.328 ,0.889 
김성현,76802,2016,138,530,479,153,28,0,8,205,65,3,3,5,7,33,0,6,37,13,16,0.322 ,0.840 
이재원,76812,2016,130,472,411,119,15,0,15,179,64,1,5,2,7,43,3,9,76,15,8,0.250 ,0.825 
이명기,76849,2016,99,326,287,78,7,4,1,96,22,14,8,10,2,23,0,4,37,3,4,0.244 ,0.595 
오재원,77248,2016,122,484,416,113,18,1,5,148,58,13,10,3,6,54,1,5,82,10,16,0.330 ,0.833 
채태인,77463,2016,124,417,370,106,14,3,7,147,72,0,1,0,9,36,1,2,92,13,3,0.350 ,0.908 
손아섭,77532,2016,144,672,575,186,33,1,16,269,81,42,4,0,2,92,1,3,104,4,3,0.331 ,0.977 
김민성,77564,2016,141,579,510,156,39,5,17,256,90,6,3,1,12,53,3,3,89,15,7,0.298 ,0.861 
김태군,78122,2016,134,395,340,79,15,0,1,97,30,0,0,20,4,22,0,9,44,14,0,0.206 ,0.469 
서건창,78168,2016,140,646,560,182,30,7,7,247,63,26,13,3,4,69,2,10,58,6,15,0.305 ,0.823 
김용의,78217,2016,105,347,308,98,18,4,1,127,20,19,7,4,0,35,0,0,64,6,0,0.290 ,0.719 
김재환,78224,2016,134,568,492,160,32,3,37,309,124,8,2,0,5,71,3,0,107,9,5,0.313 ,1.062 
나지완,78629,2016,118,486,380,117,21,2,25,217,90,6,3,0,4,85,1,17,90,8,1,0.304 ,1.039 
