Player,Date,Tournament,Surface,Round,W/L,Score
Rafael Nadal,12-04-2015,Monte Carlo Masters,Clay,R32,W,"6-2, 6-1"
Rafael Nadal,25-03-2015,Miami Masters,Hard,R32,L,"6-4, 2-6, 6-3"
Rafael Nadal,25-03-2015,Miami Masters,Hard,R64,W,"6-4, 6-2"
Rafael Nadal,12-03-2015,Indian Wells Masters,Hard,QF,L,"4-6, 7-6(10), 7-5"
Rafael Nadal,12-03-2015,Indian Wells Masters,Hard,R16,W,"6-2, 6-4"
Rafael Nadal,12-03-2015,Indian Wells Masters,Hard,R32,W,"6-4, 6-2"
Rafael Nadal,12-03-2015,Indian Wells Masters,Hard,R64,W,"6-4, 6-2"
Rafael Nadal,23-02-2015,Buenos Aires,Clay,F,W,"6-4, 6-1"
Rafael Nadal,23-02-2015,Buenos Aires,Clay,SF,W,"7-6(7), 6-2"
Rafael Nadal,23-02-2015,Buenos Aires,Clay,QF,W,"6-1, 6-1"
Rafael Nadal,23-02-2015,Buenos Aires,Clay,R16,W,"6-4, 6-0"
Rafael Nadal,16-02-2015,Rio de Janeiro,Clay,SF,L,"1-6, 6-2, 7-5"
Rafael Nadal,16-02-2015,Rio de Janeiro,Clay,QF,W,"4-6, 7-5, 6-0"
Rafael Nadal,16-02-2015,Rio de Janeiro,Clay,R16,W,"7-5, 6-3"
Rafael Nadal,16-02-2015,Rio de Janeiro,Clay,R32,W,"6-4, 6-1"
Rafael Nadal,19-01-2015,Australian Open,Hard,QF,L,"6-2, 6-0, 7-6(5)"
Rafael Nadal,19-01-2015,Australian Open,Hard,R16,W,"7-5, 6-1, 6-4"
Rafael Nadal,19-01-2015,Australian Open,Hard,R32,W,"6-1, 6-0, 7-5"
Rafael Nadal,19-01-2015,Australian Open,Hard,R64,W,"6-2, 3-6, 6-7(2), 6-3, 7-5"
Rafael Nadal,19-01-2015,Australian Open,Hard,R128,W,"6-3, 6-2, 6-2"
Rafael Nadal,05-01-2015,Doha,Hard,R32,L,"1-6, 6-3, 6-4"
Rafael Nadal,20-10-2014,Basel,Hard (i),QF,L,"6-2, 7-6(4)"
Rafael Nadal,20-10-2014,Basel,Hard (i),R16,W,"6-1, 6-1"
Rafael Nadal,20-10-2014,Basel,Hard (i),R32,W,"6-2, 6-2"
Rafael Nadal,05-10-2014,Shanghai Masters,Hard,R32,L,"6-3, 7-6(6)"
Rafael Nadal,29-09-2014,Beijing,Hard,QF,L,"6-7(7), 6-4, 6-3"
Rafael Nadal,29-09-2014,Beijing,Hard,R16,W,"6-3, 6-4"
Rafael Nadal,29-09-2014,Beijing,Hard,R32,W,"6-4, 6-0"
Rafael Nadal,23-06-2014,Wimbledon,Grass,R16,L,"7-6(5), 5-7, 7-6(5), 6-3"
Rafael Nadal,23-06-2014,Wimbledon,Grass,R32,W,"6-7(4), 6-1, 6-1, 6-1"
Rafael Nadal,23-06-2014,Wimbledon,Grass,R64,W,"4-6, 7-6(6), 6-4, 6-4"
Rafael Nadal,23-06-2014,Wimbledon,Grass,R128,W,"4-6, 6-3, 6-3, 6-3"
Rafael Nadal,09-06-2014,Halle,Grass,R16,L,"6-4, 6-1"
Rafael Nadal,26-05-2014,Roland Garros,Clay,F,W,"3-6, 7-5, 6-2, 6-4"
Rafael Nadal,26-05-2014,Roland Garros,Clay,SF,W,"6-3, 6-2, 6-1"
Rafael Nadal,26-05-2014,Roland Garros,Clay,QF,W,"4-6, 6-4, 6-0, 6-1"
Rafael Nadal,26-05-2014,Roland Garros,Clay,R16,W,"6-1, 6-2, 6-1"
Rafael Nadal,26-05-2014,Roland Garros,Clay,R32,W,"6-2, 7-5, 6-2"
Rafael Nadal,26-05-2014,Roland Garros,Clay,R64,W,"6-2, 6-2, 6-3"
Rafael Nadal,26-05-2014,Roland Garros,Clay,R128,W,"6-0, 6-3, 6-0"
Rafael Nadal,11-05-2014,Rome Masters,Clay,F,L,"4-6, 6-3, 6-3"
Rafael Nadal,11-05-2014,Rome Masters,Clay,SF,W,"6-2, 6-2"
Rafael Nadal,11-05-2014,Rome Masters,Clay,QF,W,"1-6, 6-3, 7-5"
Rafael Nadal,11-05-2014,Rome Masters,Clay,R16,W,"6-7(4), 6-2, 6-1"
Rafael Nadal,11-05-2014,Rome Masters,Clay,R32,W,"7-6(1), 6-7(4), 6-2"
Rafael Nadal,04-05-2014,Madrid Masters,Clay,F,W R,"2-6, 6-4, 3-0, RET"
Rafael Nadal,04-05-2014,Madrid Masters,Clay,SF,W,"6-4, 6-3"
Rafael Nadal,04-05-2014,Madrid Masters,Clay,QF,W,"6-4, 6-2"
Rafael Nadal,04-05-2014,Madrid Masters,Clay,R16,W,"6-1, 6-4"
Rafael Nadal,04-05-2014,Madrid Masters,Clay,R32,W,"6-1, 6-0"
Rafael Nadal,21-04-2014,Barcelona,Clay,QF,L,"2-6, 7-6(5), 6-4"
Rafael Nadal,21-04-2014,Barcelona,Clay,R16,W,"6-3, 6-3"
Rafael Nadal,21-04-2014,Barcelona,Clay,R32,W,"7-6(2), 6-4"
Rafael Nadal,13-04-2014,Monte Carlo Masters,Clay,QF,L,"7-6(1), 6-4"
Rafael Nadal,13-04-2014,Monte Carlo Masters,Clay,R16,W,"6-1, 6-3"
Rafael Nadal,13-04-2014,Monte Carlo Masters,Clay,R32,W,"6-4, 6-1"
Rafael Nadal,19-03-2014,Miami Masters,Hard,F,L,"6-3, 6-3"
Rafael Nadal,19-03-2014,Miami Masters,Hard,SF,W W,W/O
Rafael Nadal,19-03-2014,Miami Masters,Hard,QF,W,"4-6, 6-2, 6-4"
Rafael Nadal,19-03-2014,Miami Masters,Hard,R16,W,"6-2, 6-2"
Rafael Nadal,19-03-2014,Miami Masters,Hard,R32,W,"6-1, 6-0"
Rafael Nadal,19-03-2014,Miami Masters,Hard,R64,W,"6-1, 6-3"
Rafael Nadal,06-03-2014,Indian Wells Masters,Hard,R32,L,"6-3, 3-6, 7-6(5)"
Rafael Nadal,06-03-2014,Indian Wells Masters,Hard,R64,W,"2-6, 6-4, 7-5"
Rafael Nadal,17-02-2014,Rio de Janeiro,Clay,F,W,"6-3, 7-6(3)"
Rafael Nadal,17-02-2014,Rio de Janeiro,Clay,SF,W,"2-6, 6-3, 7-6(10)"
Rafael Nadal,17-02-2014,Rio de Janeiro,Clay,QF,W,"6-1, 6-0"
Rafael Nadal,17-02-2014,Rio de Janeiro,Clay,R16,W,"6-1, 6-2"
Rafael Nadal,17-02-2014,Rio de Janeiro,Clay,R32,W,"6-3, 7-5"
Rafael Nadal,13-01-2014,Australian Open,Hard,F,L,"6-3, 6-2, 3-6, 6-3"
Rafael Nadal,13-01-2014,Australian Open,Hard,SF,W,"7-6(4), 6-3, 6-3"
Rafael Nadal,13-01-2014,Australian Open,Hard,QF,W,"3-6, 7-6(3), 7-6(7), 6-2"
Rafael Nadal,13-01-2014,Australian Open,Hard,R16,W,"7-6(3), 7-5, 7-6(3)"
Rafael Nadal,13-01-2014,Australian Open,Hard,R32,W,"6-1, 6-2, 6-3"
Rafael Nadal,13-01-2014,Australian Open,Hard,R64,W,"6-2, 6-4, 6-2"
Rafael Nadal,13-01-2014,Australian Open,Hard,R128,W R,"6-4, RET"
Rafael Nadal,30-12-2013,Doha,Hard,F,W,"6-1, 6-7(5), 6-2"
Rafael Nadal,30-12-2013,Doha,Hard,SF,W,"4-6, 6-2, 6-3"
Rafael Nadal,30-12-2013,Doha,Hard,QF,W,"7-5, 6-4"
Rafael Nadal,30-12-2013,Doha,Hard,R16,W,"6-3, 6-7(3), 6-3"
Rafael Nadal,30-12-2013,Doha,Hard,R32,W,"6-2, 7-6(7)"
Rafael Nadal,04-11-2013,Tour Finals,Hard (i),F,L,"6-3, 6-4"
Rafael Nadal,04-11-2013,Tour Finals,Hard (i),SF,W,"7-5, 6-3"
Rafael Nadal,04-11-2013,Tour Finals,Hard (i),RR,W,"6-3, 6-2"
Rafael Nadal,04-11-2013,Tour Finals,Hard (i),RR,W,"6-4, 1-6, 6-3"
Rafael Nadal,04-11-2013,Tour Finals,Hard (i),RR,W,"7-6(5), 7-6(6)"
Rafael Nadal,28-10-2013,Paris Masters,Hard (i),SF,L,"6-3, 7-5"
Rafael Nadal,28-10-2013,Paris Masters,Hard (i),QF,W,"6-4, 6-1"
Rafael Nadal,28-10-2013,Paris Masters,Hard (i),R16,W,"7-5, 6-4"
Rafael Nadal,28-10-2013,Paris Masters,Hard (i),R32,W,"7-5, 7-5"
Rafael Nadal,07-10-2013,Shanghai Masters,Hard,SF,L,"6-2, 6-4"
Rafael Nadal,07-10-2013,Shanghai Masters,Hard,QF,W,"7-6(10), 6-1"
Rafael Nadal,07-10-2013,Shanghai Masters,Hard,R16,W,"6-1, 7-6(5)"
Rafael Nadal,07-10-2013,Shanghai Masters,Hard,R32,W,"6-3, 6-2"
Rafael Nadal,30-09-2013,Beijing,Hard,F,L,"6-3, 6-4"
Rafael Nadal,30-09-2013,Beijing,Hard,SF,W R,"4-2, RET"
Rafael Nadal,30-09-2013,Beijing,Hard,QF,W,"2-6, 6-4, 6-1"
Rafael Nadal,30-09-2013,Beijing,Hard,R16,W,"6-4, 7-6(3)"
Rafael Nadal,30-09-2013,Beijing,Hard,R32,W,"6-2, 6-4"
Rafael Nadal,13-09-2013,Davis Cup WG,Clay,RR,W,"6-0, 6-0, 6-4"
Rafael Nadal,26-08-2013,US Open,Hard,F,W,"6-2, 3-6, 6-4, 6-1"
Rafael Nadal,26-08-2013,US Open,Hard,SF,W,"6-4, 7-6(1), 6-2"
Rafael Nadal,26-08-2013,US Open,Hard,QF,W,"6-0, 6-2, 6-2"
Rafael Nadal,26-08-2013,US Open,Hard,R16,W,"6-7(4), 6-4, 6-3, 6-1"
Rafael Nadal,26-08-2013,US Open,Hard,R32,W,"6-4, 6-3, 6-3"
Rafael Nadal,26-08-2013,US Open,Hard,R64,W,"6-2, 6-1, 6-0"
Rafael Nadal,26-08-2013,US Open,Hard,R128,W,"6-4, 6-2, 6-2"
Rafael Nadal,11-08-2013,Cincinnati Masters,Hard,F,W,"7-6(8), 7-6(3)"
Rafael Nadal,11-08-2013,Cincinnati Masters,Hard,SF,W,"7-5, 7-6(4)"
Rafael Nadal,11-08-2013,Cincinnati Masters,Hard,QF,W,"5-7, 6-4, 6-3"
Rafael Nadal,11-08-2013,Cincinnati Masters,Hard,R16,W,"6-2, 5-7, 6-2"
Rafael Nadal,11-08-2013,Cincinnati Masters,Hard,R32,W,"6-2, 6-2"
Rafael Nadal,05-08-2013,Canada Masters,Hard,F,W,"6-2, 6-2"
Rafael Nadal,05-08-2013,Canada Masters,Hard,SF,W,"6-4, 3-6, 7-6(2)"
Rafael Nadal,05-08-2013,Canada Masters,Hard,QF,W,"6-2, 6-4"
Rafael Nadal,05-08-2013,Canada Masters,Hard,R16,W,"7-6(6), 6-4"
Rafael Nadal,05-08-2013,Canada Masters,Hard,R32,W,"6-2, 6-0"
Rafael Nadal,24-06-2013,Wimbledon,Grass,R128,L,"7-6(4), 7-6(8), 6-4"
Rafael Nadal,27-05-2013,Roland Garros,Clay,F,W,"6-3, 6-2, 6-3"
Rafael Nadal,27-05-2013,Roland Garros,Clay,SF,W,"6-4, 3-6, 6-1, 6-7(3), 9-7"
Rafael Nadal,27-05-2013,Roland Garros,Clay,QF,W,"6-2, 6-3, 6-1"
Rafael Nadal,27-05-2013,Roland Garros,Clay,R16,W,"6-4, 6-1, 6-3"
Rafael Nadal,27-05-2013,Roland Garros,Clay,R32,W,"7-6(5), 6-4, 6-4"
Rafael Nadal,27-05-2013,Roland Garros,Clay,R64,W,"4-6, 6-3, 6-3, 6-3"
Rafael Nadal,27-05-2013,Roland Garros,Clay,R128,W,"4-6, 7-6(4), 6-4, 6-3"
Rafael Nadal,12-05-2013,Rome Masters,Clay,F,W,"6-1, 6-3"
Rafael Nadal,12-05-2013,Rome Masters,Clay,SF,W,"6-2, 6-4"
Rafael Nadal,12-05-2013,Rome Masters,Clay,QF,W,"6-4, 4-6, 6-2"
Rafael Nadal,12-05-2013,Rome Masters,Clay,R16,W,"1-6, 7-5, 6-4"
Rafael Nadal,12-05-2013,Rome Masters,Clay,R32,W,"6-1, 6-3"
Rafael Nadal,05-05-2013,Madrid Masters,Clay,F,W,"6-2, 6-4"
Rafael Nadal,05-05-2013,Madrid Masters,Clay,SF,W,"6-0, 6-4"
Rafael Nadal,05-05-2013,Madrid Masters,Clay,QF,W,"4-6, 7-6(3), 6-0"
Rafael Nadal,05-05-2013,Madrid Masters,Clay,R16,W,"6-2, 6-3"
Rafael Nadal,05-05-2013,Madrid Masters,Clay,R32,W,"6-3, 6-4"
Rafael Nadal,22-04-2013,Barcelona,Clay,F,W,"6-4, 6-3"
Rafael Nadal,22-04-2013,Barcelona,Clay,SF,W,"6-4, 6-0"
Rafael Nadal,22-04-2013,Barcelona,Clay,QF,W,"6-3, 6-0"
Rafael Nadal,22-04-2013,Barcelona,Clay,R16,W,"7-6(2), 6-2"
Rafael Nadal,22-04-2013,Barcelona,Clay,R32,W,"6-4, 6-2"
Rafael Nadal,14-04-2013,Monte Carlo Masters,Clay,F,L,"6-2, 7-6(1)"
Rafael Nadal,14-04-2013,Monte Carlo Masters,Clay,SF,W,"6-3, 7-6(3)"
Rafael Nadal,14-04-2013,Monte Carlo Masters,Clay,QF,W,"6-2, 2-6, 6-4"
Rafael Nadal,14-04-2013,Monte Carlo Masters,Clay,R16,W,"6-2, 6-4"
Rafael Nadal,14-04-2013,Monte Carlo Masters,Clay,R32,W,"6-1, 6-2"
Rafael Nadal,07-03-2013,Indian Wells Masters,Hard,F,W,"4-6, 6-3, 6-4"
Rafael Nadal,07-03-2013,Indian Wells Masters,Hard,SF,W,"6-4, 7-5"
Rafael Nadal,07-03-2013,Indian Wells Masters,Hard,QF,W,"6-4, 6-2"
Rafael Nadal,07-03-2013,Indian Wells Masters,Hard,R16,W,"4-6, 6-4, 7-5"
Rafael Nadal,07-03-2013,Indian Wells Masters,Hard,R32,W W,W/O
Rafael Nadal,07-03-2013,Indian Wells Masters,Hard,R64,W,"7-6(3), 6-2"
Rafael Nadal,25-02-2013,Acapulco,Clay,F,W,"6-0, 6-2"
Rafael Nadal,25-02-2013,Acapulco,Clay,SF,W,"7-5, 6-4"
Rafael Nadal,25-02-2013,Acapulco,Clay,QF,W,"6-1, 7-5"
Rafael Nadal,25-02-2013,Acapulco,Clay,R16,W,"6-0, 6-4"
Rafael Nadal,25-02-2013,Acapulco,Clay,R32,W,"6-2, 6-2"
Rafael Nadal,11-02-2013,Sao Paulo,Clay (i),F,W,"6-2, 6-3"
Rafael Nadal,11-02-2013,Sao Paulo,Clay (i),SF,W,"6-3, 6-7(2), 6-1"
Rafael Nadal,11-02-2013,Sao Paulo,Clay (i),QF,W,"3-6, 6-4, 6-4"
Rafael Nadal,11-02-2013,Sao Paulo,Clay (i),R16,W,"6-3, 6-4"
Rafael Nadal,04-02-2013,Vina del Mar,Clay,F,L,"6-7(2), 7-6(6), 6-4"
Rafael Nadal,04-02-2013,Vina del Mar,Clay,SF,W,"6-2, 6-2"
Rafael Nadal,04-02-2013,Vina del Mar,Clay,QF,W,"6-1, 6-4"
Rafael Nadal,04-02-2013,Vina del Mar,Clay,R16,W,"6-3, 6-2"
Rafael Nadal,25-06-2012,Wimbledon,Grass,R64,L,"6-7(9), 6-4, 6-4, 2-6, 6-4"
Rafael Nadal,25-06-2012,Wimbledon,Grass,R128,W,"7-6(0), 6-2, 6-3"
Rafael Nadal,11-06-2012,Halle,Grass,QF,L,"6-3, 6-4"
Rafael Nadal,11-06-2012,Halle,Grass,R16,W,"7-5, 6-1"
Rafael Nadal,27-05-2012,Roland Garros,Clay,F,W,"6-4, 6-3, 2-6, 7-5"
Rafael Nadal,27-05-2012,Roland Garros,Clay,SF,W,"6-2, 6-2, 6-1"
Rafael Nadal,27-05-2012,Roland Garros,Clay,QF,W,"7-6(4), 6-2, 6-3"
Rafael Nadal,27-05-2012,Roland Garros,Clay,R16,W,"6-2, 6-0, 6-0"
Rafael Nadal,27-05-2012,Roland Garros,Clay,R32,W,"6-1, 6-3, 6-4"
Rafael Nadal,27-05-2012,Roland Garros,Clay,R64,W,"6-2, 6-2, 6-0"
Rafael Nadal,27-05-2012,Roland Garros,Clay,R128,W,"6-2, 6-2, 6-1"
Rafael Nadal,13-05-2012,Rome Masters,Clay,F,W,"7-5, 6-3"
Rafael Nadal,13-05-2012,Rome Masters,Clay,SF,W,"7-6(6), 6-0"
Rafael Nadal,13-05-2012,Rome Masters,Clay,QF,W,"6-4, 7-5"
Rafael Nadal,13-05-2012,Rome Masters,Clay,R16,W,"6-1, 6-1"
Rafael Nadal,13-05-2012,Rome Masters,Clay,R32,W,"6-1, 7-5"
Rafael Nadal,06-05-2012,Madrid Masters,Clay,R16,L,"6-3, 3-6, 7-5"
Rafael Nadal,06-05-2012,Madrid Masters,Clay,R32,W,"6-2, 6-2"
Rafael Nadal,23-04-2012,Barcelona,Clay,F,W,"7-6(1), 7-5"
Rafael Nadal,23-04-2012,Barcelona,Clay,SF,W,"6-0, 6-4"
Rafael Nadal,23-04-2012,Barcelona,Clay,QF,W,"6-2, 6-2"
Rafael Nadal,23-04-2012,Barcelona,Clay,R16,W,"6-2, 6-3"
Rafael Nadal,23-04-2012,Barcelona,Clay,R32,W,"6-1, 6-2"
Rafael Nadal,15-04-2012,Monte Carlo Masters,Clay,F,W,"6-3, 6-1"
Rafael Nadal,15-04-2012,Monte Carlo Masters,Clay,SF,W,"6-3, 6-4"
Rafael Nadal,15-04-2012,Monte Carlo Masters,Clay,QF,W,"7-5, 6-4"
Rafael Nadal,15-04-2012,Monte Carlo Masters,Clay,R16,W,"6-1, 6-1"
Rafael Nadal,15-04-2012,Monte Carlo Masters,Clay,R32,W,"6-4, 6-3"
Rafael Nadal,21-03-2012,Miami Masters,Hard,SF,L W,W/O
Rafael Nadal,21-03-2012,Miami Masters,Hard,QF,W,"6-2, 5-7, 6-4"
Rafael Nadal,21-03-2012,Miami Masters,Hard,R16,W,"6-4, 6-4"
Rafael Nadal,21-03-2012,Miami Masters,Hard,R32,W,"6-2, 6-2"
Rafael Nadal,21-03-2012,Miami Masters,Hard,R64,W,"6-2, 6-0"
Rafael Nadal,08-03-2012,Indian Wells Masters,Hard,SF,L,"6-3, 6-4"
Rafael Nadal,08-03-2012,Indian Wells Masters,Hard,QF,W,"4-6, 7-5, 6-4"
Rafael Nadal,08-03-2012,Indian Wells Masters,Hard,R16,W,"6-3, 6-2"
Rafael Nadal,08-03-2012,Indian Wells Masters,Hard,R32,W,"6-1, 6-4"
Rafael Nadal,08-03-2012,Indian Wells Masters,Hard,R64,W,"6-1, 6-3"
Rafael Nadal,16-01-2012,Australian Open,Hard,F,L,"5-7, 6-4, 6-2, 6-7(5), 7-5"
Rafael Nadal,16-01-2012,Australian Open,Hard,SF,W,"6-7(5), 6-2, 7-6(5), 6-4"
Rafael Nadal,16-01-2012,Australian Open,Hard,QF,W,"6-7(5), 7-6(6), 6-4, 6-3"
Rafael Nadal,16-01-2012,Australian Open,Hard,R16,W,"6-4, 6-4, 6-2"
Rafael Nadal,16-01-2012,Australian Open,Hard,R32,W,"6-2, 6-4, 6-2"
Rafael Nadal,16-01-2012,Australian Open,Hard,R64,W,"6-4, 6-3, 6-4"
Rafael Nadal,16-01-2012,Australian Open,Hard,R128,W,"6-4, 6-1, 6-1"
Rafael Nadal,02-01-2012,Doha,Hard,SF,L,"6-3, 6-4"
Rafael Nadal,02-01-2012,Doha,Hard,QF,W,"6-4, 6-4"
Rafael Nadal,02-01-2012,Doha,Hard,R16,W,"6-2, 6-2"
Rafael Nadal,02-01-2012,Doha,Hard,R32,W,"6-3, 6-7(2), 6-3"
Rafael Nadal,02-12-2011,Davis Cup WG,Clay,F,W,"1-6, 6-4, 6-1, 7-6(0)"
Rafael Nadal,02-12-2011,Davis Cup WG,Clay,F,W,"6-1, 6-1, 6-2"
Rafael Nadal,20-11-2011,Tour Finals,Hard (i),RR,L,"7-6(2), 4-6, 6-3"
Rafael Nadal,20-11-2011,Tour Finals,Hard (i),RR,L,"6-3, 6-0"
Rafael Nadal,20-11-2011,Tour Finals,Hard (i),RR,W,"6-2, 3-6, 7-6(3)"
Rafael Nadal,09-10-2011,Shanghai Masters,Hard,R16,L,"7-6(5), 6-3"
Rafael Nadal,09-10-2011,Shanghai Masters,Hard,R32,W,"6-3, 6-2"
Rafael Nadal,03-10-2011,Tokyo,Hard,F,L,"3-6, 6-2, 6-0"
Rafael Nadal,03-10-2011,Tokyo,Hard,SF,W,"7-5, 6-1"
Rafael Nadal,03-10-2011,Tokyo,Hard,QF,W,"7-6(6), 6-3"
Rafael Nadal,03-10-2011,Tokyo,Hard,R16,W,"7-5, 6-3"
Rafael Nadal,03-10-2011,Tokyo,Hard,R32,W,"6-3, 6-2"
Rafael Nadal,16-09-2011,Davis Cup WG,Clay,SF,W,"6-0, 6-2, 6-4"
Rafael Nadal,16-09-2011,Davis Cup WG,Clay,SF,W,"6-3, 6-0, 6-1"
Rafael Nadal,29-08-2011,US Open,Hard,F,L,"6-2, 6-4, 6-7(3), 6-1"
Rafael Nadal,29-08-2011,US Open,Hard,SF,W,"6-4, 6-2, 3-6, 6-2"
Rafael Nadal,29-08-2011,US Open,Hard,QF,W,"6-2, 6-1, 6-3"
Rafael Nadal,29-08-2011,US Open,Hard,R16,W,"7-6(1), 6-1, 6-2"
Rafael Nadal,29-08-2011,US Open,Hard,R32,W,"7-6(5), 6-1, 7-5"
Rafael Nadal,29-08-2011,US Open,Hard,R64,W R,"6-2, 6-2, RET"
Rafael Nadal,29-08-2011,US Open,Hard,R128,W,"6-3, 7-6(1), 7-5"
Rafael Nadal,14-08-2011,Cincinnati Masters,Hard,QF,L,"6-3, 6-4"
Rafael Nadal,14-08-2011,Cincinnati Masters,Hard,R16,W,"7-6(5), 6-7(4), 7-6(9)"
Rafael Nadal,14-08-2011,Cincinnati Masters,Hard,R32,W,"6-4, 7-5"
Rafael Nadal,08-08-2011,Canada Masters,Hard,R32,L,"1-6, 7-6(5), 7-6(5)"
Rafael Nadal,20-06-2011,Wimbledon,Grass,F,L,"6-4, 6-1, 1-6, 6-3"
Rafael Nadal,20-06-2011,Wimbledon,Grass,SF,W,"5-7, 6-2, 6-2, 6-4"
Rafael Nadal,20-06-2011,Wimbledon,Grass,QF,W,"6-3, 6-3, 5-7, 6-4"
Rafael Nadal,20-06-2011,Wimbledon,Grass,R16,W,"7-6(6), 3-6, 7-6(4), 6-4"
Rafael Nadal,20-06-2011,Wimbledon,Grass,R32,W,"7-6(6), 7-6(5), 6-0"
Rafael Nadal,20-06-2011,Wimbledon,Grass,R64,W,"6-3, 6-2, 6-4"
Rafael Nadal,20-06-2011,Wimbledon,Grass,R128,W,"6-4, 6-2, 6-2"
Rafael Nadal,06-06-2011,Queen's Club,Grass,QF,L,"6-7(3), 6-4, 6-1"
Rafael Nadal,06-06-2011,Queen's Club,Grass,R16,W,"6-3, 5-7, 6-1"
Rafael Nadal,06-06-2011,Queen's Club,Grass,R32,W,"6-4, 6-4"
Rafael Nadal,22-05-2011,Roland Garros,Clay,F,W,"7-5, 7-6(3), 5-7, 6-1"
Rafael Nadal,22-05-2011,Roland Garros,Clay,SF,W,"6-4, 7-5, 6-4"
Rafael Nadal,22-05-2011,Roland Garros,Clay,QF,W,"6-4, 6-1, 7-6(3)"
Rafael Nadal,22-05-2011,Roland Garros,Clay,R16,W,"7-5, 6-3, 6-3"
Rafael Nadal,22-05-2011,Roland Garros,Clay,R32,W,"6-1, 6-3, 6-0"
Rafael Nadal,22-05-2011,Roland Garros,Clay,R64,W,"7-5, 6-3, 7-6(4)"
Rafael Nadal,22-05-2011,Roland Garros,Clay,R128,W,"6-4, 6-7(2), 6-7(2), 6-2, 6-4"
Rafael Nadal,08-05-2011,Rome Masters,Clay,F,L,"6-4, 6-4"
Rafael Nadal,08-05-2011,Rome Masters,Clay,SF,W,"7-5, 6-1"
Rafael Nadal,08-05-2011,Rome Masters,Clay,QF,W,"6-1, 6-3"
Rafael Nadal,08-05-2011,Rome Masters,Clay,R16,W,"6-4, 6-2"
Rafael Nadal,08-05-2011,Rome Masters,Clay,R32,W,"6-7(5), 6-4, 6-0"
Rafael Nadal,01-05-2011,Madrid Masters,Clay,F,L,"7-5, 6-4"
Rafael Nadal,01-05-2011,Madrid Masters,Clay,SF,W,"5-7, 6-1, 6-3"
Rafael Nadal,01-05-2011,Madrid Masters,Clay,QF,W,"6-2, 6-2"
Rafael Nadal,01-05-2011,Madrid Masters,Clay,R16,W W,W/O
Rafael Nadal,01-05-2011,Madrid Masters,Clay,R32,W,"6-1, 6-3"
Rafael Nadal,18-04-2011,Barcelona,Clay,F,W,"6-2, 6-4"
Rafael Nadal,18-04-2011,Barcelona,Clay,SF,W,"6-3, 6-2"
Rafael Nadal,18-04-2011,Barcelona,Clay,QF,W,"6-2, 6-2"
Rafael Nadal,18-04-2011,Barcelona,Clay,R16,W,"6-3, 6-1"
Rafael Nadal,18-04-2011,Barcelona,Clay,R32,W,"6-1, 6-1"
Rafael Nadal,10-04-2011,Monte Carlo Masters,Clay,F,W,"6-4, 7-5"
Rafael Nadal,10-04-2011,Monte Carlo Masters,Clay,SF,W,"6-4, 2-6, 6-1"
Rafael Nadal,10-04-2011,Monte Carlo Masters,Clay,QF,W,"6-1, 6-3"
Rafael Nadal,10-04-2011,Monte Carlo Masters,Clay,R16,W,"6-2, 6-4"
Rafael Nadal,10-04-2011,Monte Carlo Masters,Clay,R32,W,"6-2, 6-2"
Rafael Nadal,23-03-2011,Miami Masters,Hard,F,L,"4-6, 6-3, 7-6(4)"
Rafael Nadal,23-03-2011,Miami Masters,Hard,SF,W,"6-3, 6-2"
Rafael Nadal,23-03-2011,Miami Masters,Hard,QF,W,"6-2, 3-6, 6-3"
Rafael Nadal,23-03-2011,Miami Masters,Hard,R16,W,"6-1, 6-2"
Rafael Nadal,23-03-2011,Miami Masters,Hard,R32,W,"6-3, 6-3"
Rafael Nadal,23-03-2011,Miami Masters,Hard,R64,W,"6-4, 6-4"
Rafael Nadal,10-03-2011,Indian Wells Masters,Hard,F,L,"4-6, 6-3, 6-2"
Rafael Nadal,10-03-2011,Indian Wells Masters,Hard,SF,W,"6-4, 6-4"
Rafael Nadal,10-03-2011,Indian Wells Masters,Hard,QF,W,"5-7, 6-1, 7-6(7)"
Rafael Nadal,10-03-2011,Indian Wells Masters,Hard,R16,W,"7-5, 6-4"
Rafael Nadal,10-03-2011,Indian Wells Masters,Hard,R32,W,"6-3, 6-1"
Rafael Nadal,10-03-2011,Indian Wells Masters,Hard,R64,W,"6-0, 6-2"
Rafael Nadal,04-03-2011,Davis Cup WG,Hard,R16,W,"6-4, 6-2"
Rafael Nadal,04-03-2011,Davis Cup WG,Hard,R16,W,"6-2, 6-4, 6-2"
Rafael Nadal,17-01-2011,Australian Open,Hard,QF,L,"6-4, 6-2, 6-3"
Rafael Nadal,17-01-2011,Australian Open,Hard,R16,W,"6-2, 6-4, 6-3"
Rafael Nadal,17-01-2011,Australian Open,Hard,R32,W,"6-2, 7-5, 6-3"
Rafael Nadal,17-01-2011,Australian Open,Hard,R64,W,"6-2, 6-1, 6-1"
Rafael Nadal,17-01-2011,Australian Open,Hard,R128,W R,"6-0, 5-0, RET"
Rafael Nadal,03-01-2011,Doha,Hard,SF,L,"6-3, 6-2"
Rafael Nadal,03-01-2011,Doha,Hard,QF,W,"7-6(3), 6-3"
Rafael Nadal,03-01-2011,Doha,Hard,R16,W,"7-6(3), 0-6, 6-3"
Rafael Nadal,03-01-2011,Doha,Hard,R32,W,"6-3, 6-0"
