시즌,팀,남녀부,경기,세트,득점,공격종합_성공,공격종합_블로킹,공격종합_범실,공격종합_연결,공격종합_시도,공격종합_성공률,오픈_성공,오픈_블로킹,오픈_범실,오픈_연결,오픈_시도,오픈_성공률,속공_성공,속공_블로킹,속공_범실,속공_연결,속공_시도,속공_성공률,퀵오픈_성공,퀵오픈_블로킹,퀵오픈_범실,퀵오픈_연결,퀵오픈_시도,퀵오픈_성공률,시간차_성공,시간차_블로킹,시간차_범실,시간차_연결,시간차_시도,시간차_성공률,이동_성공,이동_블로킹,이동_범실,이동_계속,이동_시도,이동_성공률,후위_성공,후위_블로킹,후위_범실,후위_연결,후위_시도,후위_성공률,블로킹_성공,유효블로킹,블로킹_실패,블로킹_범실,블로킹_연결,블로킹_시도,블로킹_세트당_평균,블로킹_어시스트,서브_성공,서브_범실,서브_연결,서브_시도,서브_세트당_평균,벌칙,개인범실,팀범실,세트_성공,세트_범실,세트_연결,세트_시도,세트_세트당_평균,리시브_정확,리시브_실패,리시브_연결,리시브_시도,리시브_효율,디그_성공,디그_범실,디그_실패,디그_시도,디그_세트당_평균
2018~2019,우리카드,남,36,139,3127,1758,304,280,1038,3380,52.01,645,130,134,508,1417,45.51,196,15,21,121,353,55.52,465,85,44,218,812,57.26,41,5,3,12,61,67.21,,,,,,,411,69,78,179,737,55.76,349,444,716,37,316,1825,2.51,272,169,409,2539,3117,1.215,,766,5,1675,37,1685,3397,12.05,1050,202,1315,2567,33.03,1228,433,3,1664,8.834
2018~2019,삼성,남,36,141,3216,1846,325,240,992,3403,54.24,799,177,119,457,1552,51.48,192,19,19,157,387,49.61,295,32,27,136,490,60.2,40,5,1,11,57,70.17,11,,1,4,16,68.75,509,92,73,227,901,56.49,341,435,753,38,279,1808,2.418,278,134,567,2514,3215,0.95,,892,3,1753,42,1628,3423,12.43,1291,224,1182,2697,39.56,1178,394,5,1577,8.354
2018~2019,OK저축은행,남,36,137,3063,1673,310,286,973,3242,51.6,501,118,117,420,1156,43.33,232,22,24,142,420,55.23,441,67,39,191,738,59.75,68,14,9,37,128,53.12,,,,1,1,,431,89,97,182,799,53.94,302,327,616,35,226,1471,2.204,245,236,614,2216,3066,1.722,,986,7,1596,48,1588,3232,11.64,1120,180,1256,2556,36.77,1064,384,3,1451,7.766
2018~2019,KB손보,남,36,144,3216,1807,335,315,1165,3622,49.88,527,145,103,474,1249,42.19,243,17,20,131,411,59.12,436,85,58,233,812,53.69,74,9,4,23,110,67.27,1,,1,1,3,33.33,526,79,129,303,1037,50.72,282,467,719,40,250,1718,1.958,239,180,561,2483,3224,1.25,,965,5,1737,43,1892,3672,12.06,1287,201,1255,2743,39.59,1300,459,6,1765,9.027
2018~2019,한국전력,남,36,141,2917,1669,428,288,1207,3592,46.46,509,182,127,488,1306,38.97,238,24,26,172,460,51.73,486,127,46,268,927,52.42,59,11,5,31,106,55.66,3,,,,3,100,374,84,84,248,790,47.34,244,461,679,31,228,1612,1.73,182,100,424,2427,2951,0.709,,778,8,1607,26,2030,3663,11.39,1260,181,1297,2738,39.4,1288,450,9,1747,9.134
2018~2019,흥국,여,30,111,2549,1608,229,269,2192,4298,37.41,827,136,148,1286,2397,34.5,95,11,10,141,257,36.96,305,34,41,354,734,41.55,113,13,8,94,228,49.56,60,6,8,61,135,44.44,208,29,54,256,547,38.02,255,824,513,14,357,1949,2.297,187,106,160,2272,2538,0.954,,482,4,1528,28,2795,4351,13.76,1015,102,1048,2165,42.17,2543,438,11,2992,22.9
2018~2019,도로공사,여,30,119,2662,1696,232,271,2257,4456,38.06,778,120,154,1236,2288,34,155,13,8,150,326,47.54,438,63,51,507,1059,41.35,110,8,10,78,206,53.39,89,7,7,83,186,47.84,126,21,41,203,391,32.22,260,838,603,32,391,2092,2.184,204,107,228,2313,2648,0.899,,559,9,1584,25,2894,4503,13.31,1200,115,988,2303,47.11,2612,416,3,3031,21.94
2018~2019,GS,여,30,114,2502,1595,282,235,2056,4168,38.26,758,137,119,1124,2138,35.45,107,21,12,174,314,34.07,492,83,50,488,1113,44.2,48,5,4,50,107,44.85,8,4,1,14,27,29.62,182,32,49,206,469,38.8,245,774,517,20,374,1910,2.149,190,123,225,2150,2498,1.078,,522,5,1518,36,2746,4300,13.31,949,104,1192,2245,37.63,2352,465,6,2823,20.63
2018~2019,IBK,여,30,117,2567,1631,229,244,2294,4398,37.08,811,131,142,1335,2419,33.52,109,7,5,108,229,47.59,413,48,40,438,939,43.98,98,8,7,97,210,46.66,47,9,9,52,117,40.17,153,26,41,264,484,31.61,268,876,573,26,322,2039,2.29,191,125,215,2221,2561,1.068,,525,9,1546,35,2896,4477,13.21,1063,114,1134,2311,41.06,2533,482,5,3020,21.64
2018~2019,현대,여,30,108,2293,1521,257,266,2023,4067,37.39,856,152,164,1270,2442,35.05,140,11,18,144,313,44.72,258,38,28,319,643,40.12,56,4,6,61,127,44.09,6,3,1,11,21,28.57,205,49,49,218,521,39.34,232,689,536,48,354,1811,2.148,186,105,196,2006,2307,0.972,,571,6,1419,54,2714,4187,13.13,1016,116,1129,2261,39.8,2286,411,7,2704,21.16
2018~2019,KGC인삼공사,여,30,105,2182,1359,246,283,2124,4012,33.87,600,128,159,1179,2066,29.04,98,13,11,129,251,39.04,404,65,63,471,1003,40.27,92,11,10,111,224,41.07,36,3,5,47,91,39.56,129,26,35,187,377,34.21,215,744,566,18,322,1847,2.047,167,86,165,1952,2203,0.819,,522,4,1305,49,2824,4178,12.42,1057,101,1086,2244,42.6,2300,481,7,2788,21.9
2019~2020,우리카드,남,32,123,2895,1625,237,184,1068,3114,52.18,431,102,75,422,1030,41.84,245,18,15,128,406,60.34,545,66,40,304,955,57.06,57,2,,17,76,75,,,,,,,347,49,54,197,647,53.63,300,446,676,26,259,1681,2.439,240,155,388,2331,2874,1.26,,636,3,1572,31,1609,3212,12.78,986,129,1096,2211,38.76,1317,421,7,1745,10.7
2019~2020,KAL,남,31,118,2782,1603,235,240,811,2889,55.48,447,88,93,330,958,46.65,273,21,24,118,436,62.61,517,76,52,207,852,60.68,6,1,,10,17,35.29,,,,,,,360,49,71,146,626,57.5,295,342,587,40,214,1438,2.5,224,191,511,2065,2767,1.618,,818,,1540,23,1377,2940,13.05,994,117,1025,2136,41.05,1116,373,4,1493,9.457
2019~2020,현대,남,32,127,2970,1691,257,269,1083,3300,51.24,471,96,116,462,1145,41.13,321,23,25,169,538,59.66,433,69,53,213,768,56.38,28,5,2,7,42,66.66,,,,,,,438,64,73,232,807,54.27,394,435,765,39,286,1880,3.102,341,145,488,2327,2960,1.141,,840,3,1616,38,1677,3331,12.72,1164,138,1135,2437,42.1,1217,338,6,1561,9.582
