시즌,남녀부,세트_id,플레이팀,득점,블로킹,디그,리시브효율,서브효율,공격효율,오픈점유율,시간차점유율,이동점유율,백어택점유율,속공점유율,퀵오픈점유율,오픈효율,시간차효율,이동효율,백어택효율,속공효율,퀵오픈효율,상대_득점,상대_서브,상대_디그,상대_블로킹,상대_리시브효율,상대_서브효율,상대_공격효율,승리,서브,서브.성공.득점,리시브,리시브.정확,리시브.실패,공격,공격.득점,공격.범실,오픈,시간차,이동,백어택,속공,퀵오픈,유효블로킹,서브_우위,디그_우위,블로킹_우위,리시브_우위,공격_우위
1920,남,46-2,삼성화재,25,7,5,0.4545454545,0.2380952381,0.3529411765,0.2352941176,0.05882352941,0,0.2941176471,0.1176470588,0.2941176471,0,0.25,0,-0.2,1,0.8,15,0,6,1,0.2380952381,0.4545454545,-0.09090909091,1,2,2,11,5,0,17,8,1,4,1,0,5,2,5,1,0,0,1,1,1
1920,남,46-3,OK저축은행,25,5,8,0.1052631579,0,0.4782608696,0.3913043478,0,0,0.1739130435,0.1304347826,0.3043478261,0.4444444444,0,0,0.5,1,0.4285714286,21,3,11,1,0,0.1052631579,0.2,1,3,3,19,5,3,23,13,1,9,0,0,4,3,7,2,0,0,1,1,1
1920,남,46-3,삼성화재,21,1,11,0,0.1052631579,0.2,0.56,0.04,0,0.2,0.12,0.08,0.2857142857,0,0,0.2,0.3333333333,1,25,3,8,5,0.1052631579,0,0.4782608696,0,3,3,19,3,3,25,11,1,14,1,0,5,3,2,4,1,1,0,0,0
1920,남,46-4,OK저축은행,18,1,7,0.3043478261,0.5,0.4285714286,0.1428571429,0.09523809524,0,0.1904761905,0.1904761905,0.380952381,0.6666666667,0.6666666667,0,0.25,0.75,0.125,25,2,10,0,0.5,0.3043478261,0.44,0,1,1,23,9,2,21,11,2,3,2,0,4,4,8,0,1,0,1,0,0
1920,남,46-4,삼성화재,25,0,10,0.5,0.3043478261,0.44,0.4,0,0,0.28,0.2,0.12,0.2,0,0,0.7142857143,0.8,0.3333333333,18,1,7,1,0.3043478261,0.5,0.4285714286,1,2,2,14,8,1,25,15,3,10,0,0,7,5,3,4,0,1,0,1,1
1920,남,48-1,대한항공,25,1,11,0.4444444444,0.1904761905,0.3214285714,0.3214285714,0,0,0.1785714286,0.25,0.25,0.3333333333,0,0,-0.2,0.5714285714,0.5714285714,20,1,5,2,0.1904761905,0.4444444444,0.1428571429,1,2,2,18,9,1,28,16,5,9,0,0,5,7,7,4,0,1,0,1,1
1920,남,48-1,한국전력,20,2,5,0.1904761905,0.4444444444,0.1428571429,0.380952381,0.09523809524,0,0.09523809524,0,0.4285714286,-0.25,0.125,0,0.5,0,0.3333333333,25,2,11,1,0.4444444444,0.1904761905,0.3214285714,0,1,1,21,6,2,21,8,4,8,2,0,2,0,9,0,1,0,1,0,0
1920,남,48-2,대한항공,25,1,13,0.380952381,0.1363636364,0.3,0.3,0.03333333333,0,0.2,0.1333333333,0.3333333333,0.3333333333,0.1111111111,0,0.1666666667,0,0.5,27,1,10,4,0.1363636364,0.380952381,0.4482758621,0,1,1,21,9,1,30,16,3,9,1,0,6,4,10,5,0,1,0,1,0
1920,남,48-2,한국전력,27,4,10,0.1363636364,0.380952381,0.4482758621,0.3103448276,0.03448275862,0,0.1724137931,0.1379310345,0.3448275862,0.3333333333,0.1111111111,0,0.8,0.25,0.4,25,1,13,1,0.380952381,0.1363636364,0.3,1,1,1,22,4,1,29,15,1,9,1,0,5,4,10,3,1,0,1,0,1
1920,남,48-3,대한항공,25,2,16,0.5217391304,0.15,0.2727272727,0.5454545455,0.0303030303,0,0.1818181818,0.06060606061,0.1818181818,0,0.05555555556,0,0.1666666667,1,0.8333333333,27,0,10,0,0.15,0.5217391304,0.4444444444,0,4,4,23,12,0,33,15,6,18,1,0,6,2,6,6,0,1,1,1,0
1920,남,48-3,한국전력,27,0,10,0.15,0.5217391304,0.4444444444,0.2592592593,0.03703703704,0,0.1851851852,0.1111111111,0.4074074074,0.4285714286,-0.1428571429,0,0,0.3333333333,0.7272727273,25,4,16,2,0.5217391304,0.15,0.2727272727,1,0,0,20,7,4,27,15,1,7,1,0,5,3,11,4,1,0,0,0,1
1920,남,48-4,대한항공,25,2,7,0.5,0.2380952381,0.5263157895,0.4210526316,0,0,0.2105263158,0.2105263158,0.1578947368,0.375,0,0,1,0.5,1,20,1,8,2,0.2380952381,0.5,0.3333333333,1,1,1,14,8,1,19,13,1,8,0,0,4,4,3,3,0,0,1,1,1
1920,남,48-4,한국전력,20,2,8,0.2380952381,0.5,0.3333333333,0.1111111111,0.03703703704,0,0.2962962963,0.1481481481,0.4074074074,0,0.3333333333,0,0.625,0.25,0.1818181818,25,1,7,2,0.5,0.2380952381,0.5263157895,0,1,1,21,6,1,27,13,2,3,1,0,8,4,11,3,1,1,1,0,0
1920,남,5-1,우리카드,13,0,8,0.380952381,0.2727272727,-0.03703703704,0.3703703704,0,0,0.2222222222,0.1851851852,0.2222222222,0,0,0,-0.1666666667,-0.2,0.3333333333,25,1,15,5,0.2727272727,0.380952381,0.48,0,1,1,21,9,1,27,6,2,10,0,0,6,5,6,2,0,0,0,1,0
1920,남,5-1,현대캐피탈,25,5,15,0.2727272727,0.380952381,0.48,0.52,0,0,0.16,0.12,0.2,0.2307692308,0,0,1,0,1,13,1,8,0,0.380952381,0.2727272727,-0.03703703704,1,1,1,11,4,1,25,14,2,13,0,0,4,3,5,7,1,1,1,0,1
1920,남,5-2,우리카드,25,2,6,0.2222222222,0.3333333333,0.6,0.35,0,0,0.3,0.1,0.25,0.2857142857,0,0,1,1,0.6,21,2,3,1,0.3333333333,0.2222222222,0.4285714286,1,2,2,18,6,2,20,15,2,7,0,0,6,2,5,3,1,1,1,0,1
1920,남,5-2,현대캐피탈,21,1,3,0.3333333333,0.2222222222,0.4285714286,0.3333333333,0,0,0.2380952381,0.09523809524,0.3333333333,0.4285714286,0,0,0.8,0.5,0.2857142857,25,2,6,2,0.2222222222,0.3333333333,0.6,0,2,2,21,9,2,21,12,1,7,0,0,5,2,7,0,0,0,0,1,0
1920,남,5-3,우리카드,26,4,8,0.5416666667,0.2380952381,0.25,0.25,0.07142857143,0,0.1785714286,0.1071428571,0.3928571429,0.1428571429,0.1428571429,0,0,1,0.2727272727,28,1,9,2,0.2380952381,0.5416666667,0.2222222222,0,2,2,24,14,1,28,13,4,7,2,0,5,3,11,2,0,0,1,1,1
1920,남,5-3,현대캐피탈,28,2,9,0.2380952381,0.5416666667,0.2222222222,0.4444444444,0,0,0.2592592593,0.1481481481,0.1481481481,0.25,0,0,0.2857142857,0.75,0,26,2,8,4,0.5416666667,0.2380952381,0.25,1,1,1,21,7,2,27,13,3,12,0,0,7,4,4,5,1,1,0,0,0
1920,남,5-4,우리카드,25,4,4,0.4285714286,0.2727272727,0.4761904762,0.1428571429,0.04761904762,0,0.2380952381,0.2857142857,0.2857142857,0.3333333333,-0.3333333333,0,0.8,0.5,0.5,21,2,5,3,0.2727272727,0.4285714286,0.2083333333,1,3,3,21,11,2,21,13,0,3,1,0,5,6,6,1,0,0,1,1,1
1920,남,5-4,현대캐피탈,21,3,5,0.2727272727,0.4285714286,0.2083333333,0.3333333333,0,0,0.125,0.2083333333,0.3333333333,-0.25,0,0,0,0.8,0.5,25,3,4,4,0.4285714286,0.2727272727,0.4761904762,0,2,2,22,9,3,24,12,3,8,0,0,3,5,8,1,1,1,0,0,0
1920,남,50-1,우리카드,25,3,11,0.4117647059,0.5714285714,0.2916666667,0.3333333333,0,0,0.2083333333,0.1666666667,0.2916666667,0.5,0,0,0,0.75,0.1428571429,23,1,12,3,0.5714285714,0.4117647059,0.21875,1,1,1,17,8,1,24,11,1,8,0,0,5,4,7,4,1,0,1,0,1
1920,남,50-1,현대캐피탈,23,3,12,0.5714285714,0.4117647059,0.21875,0.40625,0.09375,0,0.09375,0.125,0.28125,0.07692307692,0.07692307692,0,0.3333333333,0.25,0.2222222222,25,1,11,3,0.4117647059,0.5714285714,0.2916666667,0,1,1,21,13,1,32,14,4,13,3,0,3,4,9,5,0,1,1,1,0
1920,남,50-2,우리카드,22,1,15,0.5714285714,0.4736842105,0.3333333333,0.2666666667,0.03333333333,0,0.1666666667,0.2,0.3333333333,0.625,0.125,0,0.2,-0.1666666667,0.4,25,1,11,1,0.4736842105,0.5714285714,0.40625,0,0,0,21,13,1,30,14,3,8,1,0,5,6,10,4,0,1,1,1,0
