season,pick,team,player,college,years,pos,g,gs,mp,fg,fga,x3p,x3pa,ft,fta,trb,ast,stl,blk,tov,pf,pts,ws
1982,20,MIL,Paul Pressey,Tulsa,11,SG,724,420,19659,2855,5890,79,356,1875,2503,2798,3715,997,428,1700,2032,7664,49.2
1982,21,NJN,Eddie Phillips,Alabama,1,SF,48,0,416,56,138,0,2,40,59,77,29,14,8,50,58,152,0.1
1982,22,PHI,Mark McNamara,California,8,C,278,25,2707,362,707,0,0,256,467,827,77,35,39,223,374,980,2.8
1982,23,BOS,Darren Tillis,Cleveland State University,2,C,124,5,1256,184,435,0,3,57,91,314,42,20,90,73,252,425,1
1982,24,SAS,Oliver Robinson,UAB,1,SG,35,0,147,35,97,1,11,30,45,17,21,4,2,13,18,101,0.1
1982,25,WSB,Bryan Warrick,Saint Joseph's,4,PG,169,26,2379,262,592,5,24,148,198,218,437,80,19,214,304,677,1.6
1982,27,MIL,Fred Roberts,BYU,13,PF,818,253,14703,2257,4496,51,157,1397,1754,2308,977,412,253,969,1572,5962,26.3
1982,28,CLE,Dave Magley,Kansas,1,SF,14,0,56,4,16,0,1,4,8,10,2,2,0,2,5,12,-0.1
1982,29,NYK,Scott Hastings,Arkansas,11,PF,578,19,5985,584,1323,28,96,451,556,1287,284,159,153,325,1037,1647,9.6
1982,30,CHI,Wallace Bryant,San Francisco,3,C,102,43,1395,134,329,0,0,55,96,374,112,35,40,71,196,323,1.3
1982,31,CHI,Rod Higgins,Fresno State,13,SF,779,203,17189,2483,5336,352,1030,1693,2095,2819,1254,485,359,786,1712,7011,37.7
1982,32,SDC,Richard Anderson,UC Santa Barbara,6,PF,407,30,6002,909,2206,148,445,294,386,1418,611,225,94,362,691,2260,7.7
1982,33,POR,Linton Townes,James Madison University,3,SF,60,0,543,109,248,9,25,30,40,67,32,20,7,34,86,257,0.6
1982,34,NYK,Vince Taylor,Duke,1,SG,31,0,321,37,102,0,0,21,32,36,41,20,2,30,54,95,0.1
