name,code,year,tpa,ab,h
경헌호,70121,2002,1,1,0
마정길,72749,2003,1,1,1
송은범,73801,2003,1,1,0
신용운,72649,2003,1,0,0
노장진,93728,2004,1,0,0
레스,71649,2004,1,1,0
민경수,74130,2004,1,1,0
이정훈,97541,2004,1,1,0
임창용,95657,2004,1,1,0
김승회,73248,2005,1,1,0
이대현,71202,2005,1,1,0
조현근,75268,2005,1,1,1
이보근,75342,2006,1,1,0
조현근,75268,2006,1,1,0
김광현,77829,2007,1,0,0
정대현,71801,2007,1,1,0
가득염,92501,2008,1,1,1
김세현,76350,2008,1,1,0
김혁민,77748,2008,1,1,0
심재학,95114,2008,1,1,0
이재우,71260,2008,1,1,0
정대현,71801,2008,1,1,0
조웅천,90350,2008,1,0,0
토마스,78726,2008,1,1,0
금민철,75258,2009,1,1,0
김광현,77829,2009,1,1,0
윤길현,72862,2009,1,1,0
김광현,77829,2010,1,1,0
김성현,78353,2010,1,1,0
김승회,73248,2010,1,1,0
이용찬,77211,2010,1,1,0
바티스타,61727,2012,1,1,0
변시원,62263,2012,1,1,0
송창식,74731,2012,1,1,0
정우람,74857,2012,1,1,0
강영식,70615,2013,1,1,0
봉중근,77147,2013,1,1,0
손민한,97571,2013,1,1,0
송승준,77591,2013,1,1,0
윤근영,75730,2013,1,1,1
강지광,79130,2014,1,1,0
박명환,96251,2014,1,1,0
백정현,77446,2014,1,1,0
송승준,77591,2014,1,1,0
권혁,72447,2015,1,1,0
박정진,99737,2015,1,1,0
김택형,65343,2016,1,0,0
박희수,76858,2016,1,1,0
김강률,77263,2017,1,1,1
전유수,75340,2017,1,1,0
정찬헌,78148,2017,1,1,1
강지광,79130,2018,1,1,0
김정후,61962,2018,1,1,0
이민호,62929,2018,1,1,0
김재윤,65062,2019,1,1,0
김진욱,68701,2020,1,1,0
라이블리,69439,2020,1,1,0
박영진,82009,1983,0,0,0
차준섭,82156,1984,0,0,0
한오종,84274,1984,0,0,0
김태원,86110,1986,0,0,0
유종겸,82175,1987,0,0,0
이동수,80087,1987,0,0,0
이상훈,80091,1987,0,0,0
안성수,88751,1989,0,0,0
이상구,88320,1989,0,0,0
박은진,89330,1990,0,0,0
김인철,90811,1991,0,0,0
진정필,89771,1991,0,0,0
지연규,92701,1992,0,0,0
정삼흠,85150,1995,0,0,0
전승남,97140,1998,0,0,0
최창호,87340,1998,0,0,0
김경원,93219,1999,0,0,0
심재학,95114,1999,0,0,0
강태원,89672,2001,0,0,0
박충식,93417,2002,0,0,0
김해님,97758,2004,0,0,0
강영식,70615,2005,0,0,0
이혜천,98259,2005,0,0,0
임창용,95657,2005,0,0,0
가득염,92501,2007,0,0,0
김덕윤,71440,2007,0,0,0
김명제,75255,2007,0,0,0
김민기,97111,2007,0,0,0
김원형,91848,2007,0,0,0
나승현,76529,2007,0,0,0
민경수,74130,2007,0,0,0
송신영,99314,2007,0,0,0
심수창,74167,2007,0,0,0
안영명,73738,2007,0,0,0
오승환,75421,2007,0,0,0
이보근,75342,2007,0,0,0
임창용,95657,2007,0,0,0
정재훈,73241,2007,0,0,0
정현욱,96462,2007,0,0,0
조웅천,90350,2007,0,0,0
조현근,75268,2007,0,0,0
한기주,76610,2007,0,0,0
허준혁,74556,2007,0,0,0
강영식,70615,2008,0,0,0
경헌호,70121,2008,0,0,0
고우석,73629,2008,0,0,0
김강률,77263,2008,0,0,0
김덕윤,71440,2008,0,0,0
김민기,97111,2008,0,0,0
김성현,78353,2008,0,0,0
김수경,98330,2008,0,0,0
김수형,78164,2008,0,0,0
김이슬,77517,2008,0,0,0
김태영,71255,2008,0,0,0
김회권,76169,2008,0,0,0
노환수,73343,2008,0,0,0
레이어,78256,2008,0,0,0
마정길,72749,2008,0,0,0
민태호,78366,2008,0,0,0
박민석,78243,2008,0,0,0
박승민,70349,2008,0,0,0
배힘찬,72321,2008,0,0,0
백정현,77446,2008,0,0,0
송신영,99314,2008,0,0,0
얀,78853,2008,0,0,0
양훈,75750,2008,0,0,0
염종석,92508,2008,0,0,0
오상민,97815,2008,0,0,0
오승환,75421,2008,0,0,0
윤규진,73750,2008,0,0,0
